Year level,Strand,Sub-strand,Content code,Content description,Elaboration,Tags,Linked Achievement IDs
Foundation,Language,Language for interacting with others,AC9EFLA01,explore how language is used differently at home and school depending on the relationships between people,"asking relevant questions, and expressing requests and opinions in ways that suit the contexts",Text structure,Prep-AS-4617
Foundation,Language,Language for interacting with others,AC9EFLA01,explore how language is used differently at home and school depending on the relationships between people,"learning to use language according to the relationship between people; for example, between a parent and a child, a teacher and a student, siblings or friends, shopkeepers and customers",Other,Prep-AS-4617
Foundation,Language,Language for interacting with others,AC9EFLA02,"explore different ways of using language to express preferences, likes and dislikes",recognising how feelings and preferences might be communicated in speech and gesture,Other,"Prep-AS-6288, Prep-AS-6759"
Foundation,Language,Language for interacting with others,AC9EFLA02,"explore different ways of using language to express preferences, likes and dislikes","recognising the ways emotions and feelings can be conveyed in visual and media texts; for example, in advertising and animations",Text structure,"Prep-AS-6288, Prep-AS-6759"
Foundation,Language,Text structure and organisation,AC9EFLA03,"understand that texts can take many forms such as signs, books and digital texts","comparing images in informative and imaginative texts, and identifying similarities and differences",Text structure,Prep-AS-9779
Foundation,Language,Text structure and organisation,AC9EFLA03,"understand that texts can take many forms such as signs, books and digital texts","comparing different ways information might be presented; for example, on a sign or in a set of instructions",Other,Prep-AS-9779
Foundation,Language,Text structure and organisation,AC9EFLA03,"understand that texts can take many forms such as signs, books and digital texts","identifying different forms of texts in school, home and community settings; for example, crossing signs, hand washing signs, directions and product labels",Text structure,Prep-AS-9779
Foundation,Language,Text structure and organisation,AC9EFLA03,"understand that texts can take many forms such as signs, books and digital texts","understanding that many First Nations Australians’ stories are oral narrations and cultural accounts, and may be represented as or with images",Comprehension,Prep-AS-9779
Foundation,Language,Text structure and organisation,AC9EFLA04,"understand conventions of print and screen, including how books and simple digital texts are usually organised",learning that Standard Australian English in written texts is read from left to right and usually from top to bottom of the page,"Comprehension, Text structure","Prep-AS-1020, Prep-AS-9779"
Foundation,Language,Text structure and organisation,AC9EFLA04,"understand conventions of print and screen, including how books and simple digital texts are usually organised",identifying tabs in a digital text,Text structure,"Prep-AS-1020, Prep-AS-9779"
Foundation,Language,Text structure and organisation,AC9EFLA04,"understand conventions of print and screen, including how books and simple digital texts are usually organised",discussing the placement of images and words in text,Text structure,"Prep-AS-1020, Prep-AS-9779"
Foundation,Language,Text structure and organisation,AC9EFLA04,"understand conventions of print and screen, including how books and simple digital texts are usually organised",indicating the title of a book and where to start reading,Comprehension,"Prep-AS-1020, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA05,recognise that sentences are key units for expressing ideas,"learning that word order in sentences is important for meaning; for example, “The boy sat on the dog.” “The dog sat on the boy.”",Grammar,"Prep-AS-1020, Prep-AS-4200, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA05,recognise that sentences are key units for expressing ideas,"recognising the difference between a sentence fragment and a sentence; for example, “after school”, “Dad will pick me up after school.”",Grammar,"Prep-AS-1020, Prep-AS-4200, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA06,recognise that sentences are made up of groups of words that work together in particular ways to make meaning,"learning how words in a sentence relate to one another; for example, connecting a cat (noun) to ate (verb), or black (adjective) to a cat (noun)",Grammar,"Prep-AS-1020, Prep-AS-4200, Prep-AS-9779"
Foundation,Language,Language for expressing and developing ideas,AC9EFLA07,explore the contribution of images and words to meaning in stories and informative texts,recognising that texts can be interpreted differently when only the words or only the images are read or viewed,"Comprehension, Text structure","Prep-AS-1020, Prep-AS-4200, Prep-AS-8043, Prep-AS-9779"
