Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9ADAFE01,Dance,Foundation,F-1,Exploring and Responding,explore how and why the arts are important for people and communities,"exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in arts works; for example, characters in portraits, cartoons, songs, chants or dances from different times and cultures|identifying and/or learning social or cultural dances that have meaning for people and communities, taking care to observe relevant protocols; for example, working with community representatives or using accredited resources|using dramatic play to explore ideas or understandings they observe or perceive in a text or image (print or screen); for example, exploring questions such as “What is happening?”, “What will happen next?”|identifying arts works and experiences in their lives, such as songs they sing, dances or drama they watch or perform, animations, computer games or music videos, public art, 2D, 3D or screen-based works they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers|singing songs that are used for celebrations, such as school songs, anthems, sports teams’ songs, birthday songs and songs that help teach content or concepts from other learning areas, such as health messages|exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood|listening to First Nations Australians talk about the importance of the arts for connecting to people, culture and Country/Place; for example, using resources created or co-created by First Nations Australians",
AC9ADAFD01,Dance,Foundation,F-1,Developing Practices and Skills,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas","playing with the tactile qualities of a range of materials (rough, smooth, spikey, gooey) and exploring how they feel about these qualities to develop ideas for a visual artwork, dance or soundscape; for example, using art materials, movement and/or voice to depict or embody the tactile qualities they have discovered; moving their body to communicate the smooth or rough qualities of a stone or ball|imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the characters; for example, working in groups and using dramatic play to imagine possibilities about characters and situations or asking questions such as “What happens next?”|identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques to represent a familiar object such as a face; improvising movements that trace a series of shapes such as circle, rectangle and triangle; improvising a melody that follows the contour of the shape or working collaboratively to form frozen or still images of each shape|playing games to develop subject-specific practices such as pitch, beat and/or rhythm recognition; exploring ways that body parts, zones and bases can be moved safely and expressively; taking on the point of view of a fictional character in dramatic play|responding to the emotions they experience while listening to different pieces of music and using movement to share their response; for example, using scarves and movement, or creating visual images using materials such as crayons or paint|improvising rhythmic patterns for clapping or stamping or inventing new movements for familiar action songs, and interpreting these visually by using elements of art/design such as shapes, lines and/or colours, and materials such as paper and pencil or string|exploring their speaking and singing voices and discovering ways to use their voices/vocalisation to communicate ideas and feelings|improvising movements to explain the steps in a process, and then using a camera to capture a series of images or a photographic story that can be displayed in the classroom to remind everybody about the process",
AC9ADAFC01,Dance,Foundation,F-1,Creating and Making,create arts works that communicate ideas,"creating arts works in a range of forms to communicate ideas from lived personal or social experiences; for example, creating a dance or scenes showing favourite activities such as games; using digital devices to record their peers playing a game and creating a voice-over that describes what's happening; composing a song or chant about a favourite food or activity; drawing a home scene of people and animals|creating works in response to inspiration from sources such as play, imagination, observation, literature, artworks from their cultures and communities or arts knowledge and skill development activities|extending and varying known songs, chants or rhymes; for example, changing words, interpreting without using voice, adding movements/actions or improvising rhythm patterns as accompaniment|manipulating objects, puppets, 2D images and/or available technologies to create or retell stories|devising a chant/rap that a character from an animated series, a text or a fictional hero could use to communicate a health or sustainability message or to learn the steps in a process; recording the chant/rap using an available digital device and sharing live or via a school-managed space such as a learning management system|repurposing materials and objects such as clothing or packing boxes as starting points for imagining and developing scenes and scenarios; for example, using packing boxes to create an imagined environment or vehicle|considering as a class the characters and situations associated with a story and then re-imagining them by asking questions of the story, such as “What’s up?”, “What happens next?” or “What else might/could happen?"" to support the development of their own socio-dramatic or miniature worlds play",
AC9ADAFP01,Dance,Foundation,F-1,Presenting and Performing,share their arts works with audiences,"sharing their artworks with the class via a “gallery” or “performance walk”; for example, walking around the space looking at the works and using positive language to comment on the works and identify features such as similarities or differences, use of materials and elements of art/design, such as line|performing songs, soundscapes or chants/raps, using music skills they have learnt and practised, such as listening to and aiming to match starting pitch, staying in time with the group or following the agreed plan; for example, following a graphic score when performing a soundscape|taking images of class arts events (with permission from the people involved), creating an image sequence to document the occasion, and adding sound; for example, importing the images to a software program, sequencing the images, and using instruments and voices to create a soundscape to accompany the images|talking about ideas such as themes, processes used to make the work, or features of the work such as patterns, pathways or lines; for example, talking with the teacher and explaining the important features of their work|presenting retellings of stories to peers; for example, through dramatic play using repurposed objects, toys or puppets they have made|sharing their work with their teacher and responding to questions such as “What is going on in your work?”, “Tell me the story of what is happening?”, “What did you enjoy about making this work?”|performing movement/dance sequences they have created for other groups in their class and introducing their work by describing their favourite moments in the sequence or explaining why they chose a particular movement|using digital devices to record their arts explorations; for example, curating (selecting, ordering) a sequence of digital images (photos) to show the steps in a process; for example, images that show how they created new colours by mixing primary colours (using playdough or paint) and adding commentary that expresses their feelings, emotions and understandings",
AC9ADA2E01,Dance,Year 2,1-2,Exploring and Responding,"explore where, why and how people across cultures, communities and/or other contexts experience dance","identifying features of dances that communicate cultural knowledge, such as stories, traditions or dances used in ceremonies|using Viewpoints to ask questions about dances they experience; for example, “What sort of movements did the dancers perform?”, “What are they wearing?”, “What kind of music are they dancing to?”, “How are they communicating the ideas or intentions in this dance?”|recognising and describing patterns of movement in dances, using their own words and learnt dance terminology|identifying similarities and differences in dances by sharing, viewing and/or learning dances that they are familiar with or have experienced with their families and communities|identifying how dance can show what feelings people have about places, people or experiences",
AC9ADA2E02,Dance,Year 2,1-2,Exploring and Responding,explore examples of dance choreographed and/or performed by First Nations Australians,"exploring when, where, how and why First Nations Australians use dance to share knowledge about their cultures; for example, during celebrations such as National Aboriginal and Torres Strait Islander Children’s Day, NAIDOC Week, Reconciliation Week or the acknowledgement of significant occasions including Sorry Day|observing how the elements of dance are used in choreography and/or performance by First Nations Australians; for example, exploring the movements with representatives of the First Nations Australian community or by using resources that are created or co-created by First Nations Australians|identifying where they might experience dance in First Nations Australians’ cultural expressions, such as in ceremonies at their school, in their community, or as part of state and national events, and taking notice of ways the performers and audiences observe protocols and respect Elders or knowledge holders|learning about First Nations Australians’ interpretations of the night sky; for example, working with First Nations Australians who have cultural authority to co-create movements to represent shapes and patterns that can be seen at different times of the year",
AC9ADA2D01,Dance,Year 2,1-2,Developing Practices and Skills,experiment with ways to move safely and expressively using fundamental movement skills and the elements of dance,"developing awareness of, and taking responsibility for, their own safe dance practice; for example, being aware of self and others in the dance space, moving with care, respecting others dancing in the space; developing an awareness of the boundaries of the dance space and an awareness of what their bodies need; for example, getting a drink to hydrate themselves after dance activities|using improvisation to explore movement possibilities in response to a stimulus such as imagery, music or shared stories; for example, improvising movements in response to prompts such as “Make a long, narrow shape”, “Stretch the shape as wide as possible”, “Make your shape long, narrow and low/high”, “Connect your shape with the shape another person has made”, “Make your combined shape move sideways/forwards/in a circle/ backwards”|using Viewpoints to ask questions and identify movement possibilities, such as “What levels are you using in this dance, and why?”, “How are you communicating your ideas and intentions in this dance?”, “Are there other body parts you can use for this movement?”|exploring fundamental movements safely to develop ideas for movement; for example, ideas about familiar situations, objects, animals or environmental features, such as running in a race, jumping like a frog, stomping like a giant, rolling like a log, falling like an autumn leaf, floating like a cloud, gliding like a bird|moving around open and crowded spaces safely and using a variety of travelling steps, such as running, skipping, rolling, jumping, walking backwards and sideways movements; identifying the distance between themselves and others when dancing and using props such as scarves; and responding by reflecting on the space and movements that made them feel safe or unsafe",
AC9ADA2C01,Dance,Year 2,1-2,Creating and Making,use the elements of dance to choreograph dance sequences,"using improvised movements to create a dance sequence that represents a weather event, or shows how they might take care of a place that is important to them|using music they have created as inspiration for a dance, considering how they can use movement to communicate the rhythm/beat, texture (layers) or timbre (unique sound of each instrument/voice) in the music|devising a dance sequence; for example, devising a starting shape, a way of moving to another place in the dance space (considering level, direction, locomotor and non-locomotor movements) and then combining their ideas with a partner or a small group to extend the sequence|using ideas from an exploration of how they maintain balance, manipulate their posture, or move specific body parts, noting similarities and differences across individuals, groups or the whole class, to create a dance sequence|using patterns of movement such as a sequence of locomotor movements (travelling movements) they have improvised, sharing/teaching these movements to a partner (and learning the partner’s movements), and working collaboratively to combine and extend these movement ideas to create a dance sequence|using their own words and learnt dance terminology to share ideas about the dance they are creating and recognising and accepting constructive feedback from peers or teachers; for example, in response to a “work-in-progress” sharing",
AC9ADA2P01,Dance,Year 2,1-2,Presenting and Performing,share dance sequences in informal settings,"presenting a learned sequence of movements or performing dances they have learnt to peers and teachers|performing a dance they have co-created with a First Nations Australian person who has cultural authority, and following protocols to ensure they are using any Indigenous Cultural and Intellectual Property with permission|expressing ideas to an audience through movement; for example, showing contrasting dynamics by stamping heavily and tip­toeing lightly or using movement qualities, such as slow controlled sinking to the floor to express melting ice or sharp jerky movement to express a robot|using Viewpoints to develop questions when responding to dances they experience in order to reflect on their choreography and/or performance; for example, “What did this dance make you think about?”, “Did the dance movements remind you of anything?”, “How did you communicate the ideas or intention in this dance?”",
AC9ADA4E01,Dance,Year 4,3-4,Exploring and Responding,"explore where, why and how dance is choreographed and/or performed across cultures, times, places and/or other contexts","identifying meaning and describing purposes that dance can be created for; for example, exploring dances from a range of cultures from their local community and/or neighbouring countries, such as countries in Asia, that are performed for celebrations or narrative dances that share stories|learning dances created for different purposes such as entertainment; for example, dances from a range of cultures, times or places that are/have been a dance craze or are a dance that “everyone” knows|using Viewpoints to ask questions about dance they are experiencing, such as “Are the movements in this dance similar to movements in dances that you know?”, “Where are these dances performed?”",
AC9ADA4E02,Dance,Year 4,3-4,Exploring and Responding,explore how First Nations Australians use dance to communicate their connection to and responsibility for Country/Place,"collecting and sharing information about dances choreographed and/or performed by First Nations Australians for occasions such as festivals or ceremonies; reflecting on how these dances can communicate important information or knowledge about Country/Place|exploring how First Nations Australians use dance to express connection to and responsibility for Country/Place, culture and people, such as communicating knowledge about the local seasons|exploring First Nations Australians’ use of dance to express connection to and responsibility for Country/Place such as communicating knowledge about the local season, or screen-based storytelling to maintain unique ways of life|observing how the elements of dance are used in dances choreographed and performed by First Nations Australians to communicate connection to and responsibility for Country/Place; for example, in dance about wind, water or fire|exploring the movements in dances with representatives of a First Nations Australian community or through resources created or co-created by First Nations Australians; for example, dances that share cultural accounts of Country/Place",
AC9ADA4D01,Dance,Year 4,3-4,Developing Practices and Skills,experiment with and practise skills for moving safely and expressively using fundamental movement skills and the elements of dance,"exploring known movements to find alternative ways of performing them; for example, waving hello or shaking hands and then doing the same action/s at different levels, in different directions, bigger/smaller or using a different body part, zone or base|using contrast and repetition (choreographic devices) to explore and generate new movement in response to stimuli such as stories, memories or the environment|exploring how the elements of dance can be used to communicate ideas, such as exploring how cultural stories can be shared through dance; for example, using the elements of dance to develop locomotor and non-locomotor movements to represent different aspects of a story (how a character walks, their emotions or the mood of a place in the story)|developing the habit of always using safe dance practice; for example, warming up their bodies before executing more complex movement patterns in dance sequences and cooling/calming down afterwards, removing socks if the floor surface is slippery|developing body awareness and refining technical skills of body control, accuracy, alignment, strength, balance and coordination in fundamental movements; for example, in response to teacher feedback",
AC9ADA4C01,Dance,Year 4,3-4,Creating and Making,"use the elements of dance to choreograph dance that communicates ideas, perspectives and/or meaning","improvising using movements (locomotor and non-locomotor) from a dance they have learnt or experienced and using the elements of dance, such as space, time, dynamics and relationships, to develop sequences based on the original movements and then combining the sequences to create a longer dance|using Viewpoints to frame questions about dances they are choreographing; for example, “How will the dance begin?”, “When does the middle part begin?”, “What shapes will we make?”, “How will the dance end?”|creating dance sequences by combining fundamental locomotor and non-locomotor movements, such as running and sliding, bending and stretching, running, swinging and walking, and using a variety of levels and directions|using Viewpoints to ask questions when making choices about ideas and intentions for a dance; for example, “How can we connect these 2 parts of our dance?” or “What level should we choose for the start of the dance?”|using learning from explorations of dances that communicate First Nations Australians’ connection to and responsibility for Country/Place to devise dance that communicates their own connection to and responsibility for Country/Place; for example, devising a dance that communicates their feelings about a “favourite” place or shows how they care for  a place in their community, taking care to follow protocols for respecting Indigenous Cultural and Intellectual Property rights",
AC9ADA4P01,Dance,Year 4,3-4,Presenting and Performing,practise and perform dances in informal settings,"using expressive skills such as projection and focus to communicate dance ideas to an audience; for example, looking out and up to the ceiling and extending movements outwards to express a feeling of joy|presenting their dance using screen-based technologies or through an online platform such as a school learning management system|being an attentive audience member during class performances and providing constructive feedback to peers|sharing with others the meaning and intended purposes of their own dance; for example, in a class debrief discussion after a performance; using their own words, images and some learnt dance terminology or responding through movement or by drawing (visual)",
