Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9TDEFK01,Design and Technologies,Foundation,F-1,Knowledge and Understanding,"explore how familiar products, services and environments are designed by people","identifying how First Nations Australians have long designed and produced domestic items including clothing, tools and shelter, for example the Lamalama Peoples of the eastern Cape York Peninsula weave the reddish coloured fibres from Acacia latifolia alternately with white coloured fibres from Brachychiton diversifolium to produce a striped woven bag|exploring how local delivery services meet different needs of people, for example describing how gift packages can be sent to and from people who live in different locations and how online shopping items arrive at a person’s home|exploring how an environment such as a local playground may have shade structures to protect users and be designed to allow access for all|describing how community gardens, public swimming pools and parks are designed to help people stay healthy|asking questions about the design of products from the local store, for example why certain packaging materials might have been selected, and how people design the text and images on the packaging to attract people’s attention",
AC9TDEFP01,Design and Technologies,Foundation,F-1,Processes and Production Skills,"generate, communicate and evaluate design ideas, and use materials, equipment and steps to safely make a solution for a purpose","identifying a purpose for designing and making a solution, for example the sand keeps blowing out of the sandpit, the birds keep flying into the waste bin and taking food scraps or people with disability need to know where they can park at school|exploring ideas by drawing or modelling and choosing the most suitable idea, for example drawing or modelling designs for bee hotels to attract native bees to the school garden and choosing one to make, and changing perspectives from front view to plan view|evaluating what they have made using personal preferences, for example using a smiley face Likert scale|exploring how available materials can be used or re-used in construction play, for example using blocks and rain gutters or cardboard to make a ramp to roll a ball or toy car down|practising a range of technical skills safely using equipment, for example joining techniques when making a product from materials, such as a greenhouse to keep a seedling warm or a trellis for holding up tomato plants|assembling components of systems and checking they function as planned, for example making and testing a bowling, stacking or obstacle game with discarded food containers or packaging",
AC9TDE2K01,Design and Technologies,Year 2,1-2,Knowledge and Understanding,"identify how familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability","exploring how First Nations Australians have long understood their dependence on living systems to meet their local and community needs, for example exploring the material culture of the Ngarrindjeri Peoples who sustainably make woven items from a grass-like sedge|exploring how particular services meet different needs of people in the community, for example describing why doctors provide medical care to people in many ways including by phone, video conference, plane, car or outdoor clinic|asking questions about the design of a range of shelters provided for the public and how they meet the needs of people in the community, for example the structures of a school or local sportsground or how to improve accessibility|exploring how local products are designed, for example brainstorming the materials and processes needed to create a costume for a school or community event including using recycled clothing or components to minimise waste|exploring how people come up with new ideas or modify existing designs, for example preventing water wastage when caring for plants",
AC9TDE2K02,Design and Technologies,Year 2,1-2,Knowledge and Understanding,explore how technologies including materials affect movement in products,"investigating First Nations Australians’ instructive toys and how such toys are designed and made to produce movement, for example propeller toys made from pandanus across northern Australia|selecting materials to show how material properties are appropriate for particular designed solutions, for example materials that enable sliding, floating or flying|exploring how to manipulate materials using a range of tools, equipment and techniques to create movement, for example when constructing a toy boat that floats or a kite that flies|exploring a system such as a marionette or Indonesian wayang kulit shadow puppet to see that by combining materials with forces movement can be created|testing materials to see how they affect movement and speed, for example the movement of a wheeled toy on different surfaces such as timber, carpet, rubber and plastic",
AC9TDE2K03,Design and Technologies,Year 2,1-2,Knowledge and Understanding,"explore how plants and animals are grown for food, clothing and shelter","exploring how First Nations Australians grow plants and animals for food, for example how land is transformed through the construction of terraces at Wagadagam on Mabuiag Island in the Torres Strait, or how the Kombumerri Peoples of South East Queensland developed an important aquaculture industry farming mangrove worms|identifying which plants and animals can provide food or materials for clothing and shelter, for example looking at a range of items and sorting them according to plant or animal source|exploring where plants and animals are grown for food, clothing and shelter in Australia, for example citrus fruit in South Australia; cotton in New South Wales, which is harvested and made into yarn and fabric for clothing; or timber for building homes from sustainable forests in Tasmania|identifying products that can be designed and produced from plants and animals, for example food products, paper and wood products, fabrics and yarns|considering a range of tools and equipment that can be used to grow plants for a purpose and their suitability, for example naming and describing tools such as a spade or rake used to cultivate or mulch a home vegetable garden, or equipment such as a seed spreader or global positioning system (GPS) tractor to sow wheat, or a tubestock planting tool and drones to manage forestry plantations",
AC9TDE2K04,Design and Technologies,Year 2,1-2,Knowledge and Understanding,explore how food can be selected and prepared for healthy eating,"identifying a wide range of foods, categorising them into food groups according to the Australian Guide to Healthy Eating or the Aboriginal and Torres Strait Islander Guide to Healthy Eating and discussing ways to eat a variety of food groups, including cooking methods, tools and equipment needed to prepare them for healthy eating|exploring how people including peoples from the countries of Asia design and produce food for healthy eating based on the available plants and animals in their region, the influence of cultural practices, and locally available tools and equipment|exploring the Australian Guide to Healthy Eating and the Aboriginal and Torres Strait Islander Guide to Healthy Eating and identifying foods in each of the 5 food groups which contribute to health and wellbeing, for example choosing foods from each of the 5 food groups which they are familiar with and designing a menu for a day|exploring the local supermarket to observe the variety of foods and the placement of foods on shelves, in aisles and displays; and considering how their design may influence the purchase of foods for healthy food eating|exploring different ways of preparing the products from the school kitchen garden, farmers’ market or supermarket, for example preparing vegetables for a salad, steaming or roasting vegetables and noticing the changes in flavour and texture",
AC9TDE2P01,Design and Technologies,Year 2,1-2,Processes and Production Skills,"generate and communicate design ideas through describing, drawing or modelling, including using digital tools","comparing and contrasting features of existing products to develop new ideas, for example designing and making a puppet with a movable part after experimenting with other toys with several movable parts|communicating design ideas by modelling or producing and labelling 2-dimensional drawings using a range of technologies, for example designing a new environment such as a cubbyhouse or animal shelter and showing different views (top view and side view) with descriptions of materials and features|communicating an opinion about their design ideas, for example expressing own likes and dislikes about a design idea for felt finger puppets including how they have made changes to their design ideas|describing the results from exploring design ideas, for example recording the results from people taste-testing a food product",
AC9TDE2P02,Design and Technologies,Year 2,1-2,Processes and Production Skills,"use materials, components, tools, equipment and techniques to safely make designed solutions","exploring how available materials can be used or re-used in construction play, for example using used wrapping paper and gift cards to design and make decorations or signage for the classroom or a school event to minimise waste|practising a range of technical skills using tools and equipment safely, for example joining techniques when making products, watering and mulching gardens, preparing a recipe using a knife safely|assembling components and checking they function as planned, for example containers, contents and joining materials when making musical shakers",
AC9TDE2P03,Design and Technologies,Year 2,1-2,Processes and Production Skills,evaluate the success of design ideas and solutions based on personal preferences and including sustainability,"reflecting on and recording a judgement about design ideas, for example describing how design ideas meet the needs of those who will use the solution using audio-recording or video-recording software|sharing design strengths and weaknesses, for example explaining how the equipment in a playground might be unsuitable for some children to use and suggesting areas for design improvement|reflecting on the environmental impacts of the production of a solution and considering alternative approaches that would minimise future negative impacts, for example identifying the negative environmental impacts of different food packaging and how these could be minimised|reflecting on the challenges of designing and producing a solution and recording these reflections, for example when growing a food product, designing a structure to take a load or making a nutritious snack",
AC9TDE2P04,Design and Technologies,Year 2,1-2,Processes and Production Skills,sequence steps for making designed solutions cooperatively,"using lists or storyboarding when planning and making, for example when creating an electronic planting calendar|recording the procedure for making a product, for example the ordered steps for making a salad, instructions for making a container or bag|identifying roles for each member of a group when working cooperatively, for example when making a number of items for a school fete",
