Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9TDIFK01,Digital Technologies,Foundation,F-1,Knowledge and Understanding,recognise and explore digital systems (hardware and software) for a purpose,"recognising digital systems that they interact with at home and school, for example smartphone, laptop or programmable toy|playing with (with guidance) and using different digital systems to explore what they do for a purpose, for example the class speaking to an expert via videoconference|recording, with permission, audio or video of local community members’ stories to share in class, for example sharing cultural stories of First Nations Australians|taking photos, with permission, to share with others, for example close-up photos of First Nations Australians’ material culture, such as woven mats or baskets revealing intricate detail|making a model of a digital system, using it in a role-play scenario and describing its features, for example a cardboard box with a keyboard and screen with app icons",
AC9TDIFK02,Digital Technologies,Foundation,F-1,Knowledge and Understanding,"represent data as objects, pictures and symbols","drawing a picture representing each of their family members and their interests, for example drawing one family member with a surfboard and another with a skateboard|using coloured blocks to represent an attribute of people, for example representing students and their sports houses with different coloured blocks|using a symbol to represent an idea, but knowing that the symbol is not the data itself, for example the Australian Aboriginal flag represents First Peoples of Australia, the land and the sun|using a symbol to represent an idea, but knowing that the symbol is not the data itself, for example the symbols and colour on both the Australian Aboriginal flag and the Torres Strait Islander flag",
AC9TDIFP01,Digital Technologies,Foundation,F-1,Processes and Production Skills,identify some data that is personal and owned by them,"listing things that contain personal and public data, for example photos of themselves with their family (private) and photos of local community sites (public)|identifying apps and websites they use where their personal data could be made visible, for example photos of themselves on parents’ or carers’ social media, or their username being shown to others in online games",
AC9TDI2K01,Digital Technologies,Year 2,1-2,Knowledge and Understanding,identify and explore digital systems and their components for a purpose,"exploring digital systems to better understand how they are used to provide communities with essential services, for example looking at the systems and components that allow First Nations Australians in communities classified as remote to watch their favourite television shows|naming and using digital systems that they interact with at home and school, for example using a touchpad to move the cursor on a laptop, or the keyboard to type a simple message on a tablet|using different digital systems to explore what they do and how to use them, for example selecting the camera icon allows them to take photos of things that are a familiar shape",
AC9TDI2K02,Digital Technologies,Year 2,1-2,Knowledge and Understanding,"represent data as pictures, symbols, numbers and words","recognising that letter combinations represent different phonemes and that words are spelled the same way regardless of the accent of the speaker|recognising the equivalence of different representations of numbers, including words, digits and tally marks|recognising that pictures in First Nations Australians’ seasonal calendars are used to represent and communicate data, such as how the appearance of a flower can signify a connected event or a resource availability, for example how the Gulumoerrgin Peoples from the Darwin region of the Northern Territory understand that the fruiting of freshwater mangrove signifies it is time to harvest magpie geese",
AC9TDI2P01,Digital Technologies,Year 2,1-2,Processes and Production Skills,investigate simple problems for known users that can be solved with digital systems,"investigating internet-based translation tools and how similar digital tools could promote the use of First Nations Australians’ languages or assist communications, for example responding to cultural stories of Australian First Nations Peoples|investigating familiar and easily understood problems with few complications or steps needed to solve them, for example deciding what to wear by checking the forecast on a weather app|identifying how digital systems are used to solve problems at school, for example taking attendance or borrowing a library book|exploring how a familiar problem could be solved using a robot, for example creating a model robot using cardboard boxes and explaining how it could be used to clean up the classroom floor at the end of the day",
AC9TDI2P02,Digital Technologies,Year 2,1-2,Processes and Production Skills,"follow and describe algorithms involving a sequence of steps, branching (decisions) and iteration (repetition)","following a short, ordered sequence of steps and making decisions to solve a simple problem, for example follow a recipe or directions to reach a location|describing the steps and decisions (in the correct order) needed to solve a simple problem, for example writing, saying, drawing or photographing the steps needed to make a sandwich|rearranging into the correct order a series of mixed-up pictures that describe a story, for example stories authored and published by First Nations Australians|identifying the steps needed to solve a problem, and understanding when their order is important, for example socks must be put on before shoes but a jumper can be put on before or after shoes|identifying the decisions needed to solve a problem and the next steps to follow in each case, for example if it is raining, take a raincoat, otherwise take a hat|following algorithms that repeat a single step a fixed number of times, for example practise spelling a word 5 times or throw and catch a ball with a partner 10 times",
AC9TDI2P03,Digital Technologies,Year 2,1-2,Processes and Production Skills,discuss how existing digital systems satisfy identified needs for known users,"describing how familiar digital systems meet the needs of individuals, for example how different family members use a tablet for different needs – to play videos, read the news or follow a recipe|discussing how we use digital systems to store and access information, and how that information helps us learn about our environment, interactions and leisure activities, for example how interactive versions of stories authored and published by First Nations Australians preserve important cultural expressions|sharing ideas about how digital systems are used at school for learning, for example sharing a student’s work with the class on an interactive display screen to provide class feedback on their writing|sharing and describing ways that common digital systems can be used to meet communication needs, for example tablets can be used as phones and tools for communication between families living in different locations",
AC9TDI2P04,Digital Technologies,Year 2,1-2,Processes and Production Skills,"use the basic features of common digital tools to create, locate and communicate content","using familiar digital systems to create content with others, for example using presentation software to retell a story|taking, storing safely and presenting photos of class work, for example locating photos they took of their work to show to parents or carers or for the teacher to upload to the class shared folder|finding images of (local) Australian flora and fauna or places for use in a story and including First Nations Australians’ names for the items|using a camera or drawing app to create a picture, for example making a card for a family member that includes a photo and short message|creating individual pieces of work that contribute to a group task, for example each student contributes a recipe and photo of their favourite food to create a class recipe book",
AC9TDI2P05,Digital Technologies,Year 2,1-2,Processes and Production Skills,"use the basic features of common digital tools to share content and collaborate demonstrating agreed behaviours, guided by trusted adults","taking and sharing photos of class work with parents or carers using classroom messaging software with teacher guidance|applying agreed standards of behaviour when sharing content with classmates, for example using language that is considered by all students and the teacher to be appropriate when they are writing messages to each other|considering the need for online safety when sharing information, for example recognising that personal information such as a photo can be used inappropriately",
AC9TDI2P06,Digital Technologies,Year 2,1-2,Processes and Production Skills,access their school account with a recorded username and password,"using username and password recorded in a private place to access a digital system, for example logging into a school computer using details given on a card by the teacher",
AC9TDI2P07,Digital Technologies,Year 2,1-2,Processes and Production Skills,discuss that some websites and apps store their personal data online,"sharing examples of the data collected by apps and websites they commonly use, for example usernames and email addresses used by school websites and games to log in|discussing the importance of asking permission from a parent or carer before entering personal details online such as address, phone number and date of birth",
AC9TDI4K01,Digital Technologies,Year 4,3-4,Knowledge and Understanding,explore and describe a range of digital systems and their peripherals for a variety of purposes,"experimenting with a range of peripherals to perform input, output and storage, for example a keyboard, touch screen, mouse, camera and microphone; a monitor, projector, printer or 3D printer; speaker; or USB drive|adding peripherals to a digital system to expand its functionality, for example connecting a headset to a digital system to participate in an online lesson more effectively|exploring how they can use digital systems differently depending on the task, recognising that many digital systems can perform multiple tasks, for example a student can use a tablet to take photos, record audio and find information to create a presentation",
AC9TDI4K02,Digital Technologies,Year 4,3-4,Knowledge and Understanding,explore transmitting different types of data between digital systems,"exploring examples of different types of data that can be transferred between digital systems, for example streaming music or making a video call to a friend using a smartphone|exploring how data (video call) can be transmitted from a remote community to a city location, for example looking at how many First Nations Australian communities in areas classified as remote rely on 3G network coverage, limiting the use of video calls",
AC9TDI4K03,Digital Technologies,Year 4,3-4,Knowledge and Understanding,recognise different types of data and explore how the same data can be represented differently depending on the purpose,"describing different types of data and how they can be used, for example numbers, letters, symbols and pictures|explaining how the same data can be represented in different ways and why some representations are better than others in certain contexts, for example four vs 4 vs IV vs |||| vs quatre, and that numerals are better for calculation than words|explaining that the same information can be represented differently, for example the term ‘stop’ can also be represented with an octagon-shaped red sign or a hand icon|identifying rock paintings and other cultural expressions to understand that images are used to encode and represent ethnobotanical knowledge, for example the representation of plant use in the Kimberley cave paintings and ancient engravings including important data on medicinal and food plant classification and their usable parts",
AC9TDI4P01,Digital Technologies,Year 4,3-4,Processes and Production Skills,define problems with given design criteria and by co-creating user stories,"recognising a range of familiar problems and defining achievable solutions using given design criteria, for example buying presents for family members within a specified budget|using responses to guiding questions to write a user story, for example a family member wants a way of entertaining their puppy when they are at school to stop it digging holes|co-creating a user story using a template such as “A <type of user> has <some goal> so that <some reason>”, for example “a sports team wants to access league rankings online so that they can see their progress”|developing a problem statement for collecting and managing information, for example how First Nations Australian rangers could monitor animal populations, such as local marine turtles, using global positioning systems (GPS)|co-creating user stories about exploring hard-to-reach locations, for example a school student wants to explore neighbouring countries or communities classified as remote to compare how people live",
AC9TDI4P02,Digital Technologies,Year 4,3-4,Processes and Production Skills,"follow and describe algorithms involving sequencing, comparison operators (branching) and iteration","following the steps and decisions of algorithms and knowing what step they are up to, for example following rules to form the past tense of regular verbs such as ‘create’ to ‘created’, ‘try’ to ‘tried’ and ‘cook’ to ‘cooked’ and checking off items on a list as they are completed|describing algorithms using representations such as a list of steps or a diagram, for example drawing a diagram of a recipe involving decisions|understanding there can be more than one sequence of steps to solve a problem, some are better than others, and the steps should be unambiguous, for example describing 2 different ways to get to the same location|describing the decisions needed to solve a problem, including numerical and text comparisons, for example if the UV index is above 3, put on sunscreen and a hat|describing algorithms that repeat steps a fixed number of times, for example calculating multiplication using repeated addition, where the sum changes in each iteration",
AC9TDI4P03,Digital Technologies,Year 4,3-4,Processes and Production Skills,"generate, communicate and compare designs","brainstorming possible design ideas and discussing these with their peers, for example sketching different ideas for a computer game|discussing whether the needs identified from the user story are met by generated design ideas, for example comparing design ideas in pairs for encouraging people to recycle|ideating multiple design ideas and comparing them against user stories, for example as a class, discussing the needs identified from the user story and brainstorming multiple design ideas (accepting all suggestions as possibilities)",
AC9TDI4P04,Digital Technologies,Year 4,3-4,Processes and Production Skills,implement simple algorithms as visual programs involving control structures and input,"writing and editing programs to solve simple problems using branching and simple iteration in a visual programming environment, for example helping a user understand multiplication by displaying the repeated addition in order|writing programs that take input from the user or environment, for example asking the user for their name and displaying it or sensing the temperature from the environment to make a decision|writing programs that make decisions involving comparison, for example comparing whether the temperature is above 25 degrees Celsius to label the weather hot or cold|writing programs that repeat one or more steps a fixed number of times, for example writing a program that displays repetitive song lyrics, such as in ‘Ten in the bed’|running and testing a program to check it performs as expected, for example a character: 1. moves forward 2. turns left 3. moves forward|implementing a program that demonstrates the strict routines and techniques followed by First Nations Australian ranger groups when caring for or handling specific native animals, for example using IF and THEN statements to create a training manual, such as: IF <insert animal name> is injured THEN the ranger will <insert action>",
AC9TDI4P05,Digital Technologies,Year 4,3-4,Processes and Production Skills,discuss how existing and student solutions satisfy the design criteria and user stories,"describing the way familiar digital systems allow the user to perform tasks, for example discussing how a family member could place an order online for something they cannot buy locally|discussing how a digital solution meets the different needs of users, for example how maps help people to locate places in the community or interactive store directories help shoppers to find a particular store in a shopping centre|making judgements on their digital solutions against the design criteria and user stories, for example how high their friends score in the game they created to help them learn what is recyclable|reflecting on how the systems in the school help it run, for example how the librarian keeps track of books borrowed",
