Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9HSFK01,HASS,Foundation,,Knowledge and Understanding,"the people in their family, where they were born and raised, and how they are related to each other","discussing the members of a family (for example, mother, father, caregiver, sister, brother, grandparent, auntie, uncle, cousin) and acknowledging other varieties of kinship structure that may be represented in the cultural backgrounds of students (for example, cousin-brother and mother-auntie in First Nations Australian families)|creating drawings of family members accompanied by information collected from questions and observations to share details of that person’s life, including the places they were born and raised|creating concept maps of their family with pictures or photographs to show connections to those people who make up their family",
AC9HSFK02,HASS,Foundation,,Knowledge and Understanding,the celebrations and commemorations of significant events shared with their families and others,"responding to a provided calendar of events that students, their families and friends celebrate or commemorate; for example, birthdays; religious festivals such as Easter, Ramadan, Buddha’s Birthday, Feast of Passover and Coming of the Light; family reunions; cultural festivals; and community commemorations such as NAIDOC Week and Anzac Day, and discussing why they are important|discussing ways of celebrating these significant occasions; for example, special meals, family gatherings, visiting special places, and the role of art, music, telling stories and handing on traditions from generation to generation for First Nations Australians",
AC9HSFK03,HASS,Foundation,,Knowledge and Understanding,"the features of familiar places they belong to, why some places are special and how places can be looked after","identifying the places, communities, Country/Place they live in and belong to, and why that place may be special to them; for example, a neighbourhood, suburb, town or rural locality, or community|exploring the features of their own place, and places they are familiar with or aware of; for example, places they have visited, places family members have come from, imaginary places in stories, or places featured on television and websites, in books or ebooks|identifying reasons why people live in or visit places, such as the provision of basic needs (water, food, shelter), to enhance lives (holiday places, places for recreation, for religious observance) and to maintain cultural connections to Country/Place|discussing different ways they could or do contribute to caring for special places, including those that are unique; for example, planting trees for a local endangered species, cleaning up litter at a local park or beach, or planting flora in a local wetland",
AC9HSFK04,HASS,Foundation,,Knowledge and Understanding,the importance of Country/Place to First Nations Australians and the Country/Place on which the school is located,"identifying how and why the words “Country/Place” are used by First Nations Australians for the places they belong to|identifying and using the name of the local First Nations Australian language group or groups|listening and responding to invited members of the Traditional Owner group talking about Country/Place, and places of cultural and historical significance to the First Nations Australian community in the local neighbourhood, suburb, town or rural area|identifying local places of significance for First Nations Australians in the local area",
AC9HSFS01,HASS,Foundation,,Inquiry and Skills,"pose questions about familiar objects, people, places and events","posing questions about family and places, such as “How old was I?”, “Where was I?” and “What was I doing?”, having explored sources relating to their own life; for example, family interviews, photographs, stories, film, classmates’ paintings, excursions to places|posing questions about the features of places and how students can look after them, after being encouraged to observe them using various senses|posing questions about what makes events and places special; for example “What special events do my family celebrate?”, “What makes my favourite places special?”",
AC9HSFS02,HASS,Foundation,,Inquiry and Skills,sort and record information including pictorial timelines and locations on pictorial maps or models,"sorting and displaying sources (for example, historical sources such as pictures, photographs and family mementoes) to organise a display about a family member or significant family event and creating pictorial timelines, such as adding photos or drawings of significant events as they happen, to create a timeline of events over the year|identifying features on a provided pictorial map or oblique aerial photograph of a familiar place and linking the representation of specific features to pictures they have drawn of those features; for example, using a pictorial map of a visited site such as a public garden or an oblique aerial photograph of their school to find familiar features, and then linking drawings of those features with lines to the features in the map or aerial photograph",
AC9HSFS03,HASS,Foundation,,Inquiry and Skills,"share a perspective on information, such as stories about significant events and special places","sharing aspects of events special to past generations of their family from provided stories and discussing why those events and places are special|identifying a place in their local area that they like, and talking about why they like it and how they could care for it",
AC9HSFS04,HASS,Foundation,,Inquiry and Skills,draw conclusions in response to questions,"identifying the main people in their family and explaining how they are related|identifying the most important celebrations and commemorations in their lives and those of their family|exploring the location and features of places they belong to and what makes those places special|suggesting ways that they are going to care for their classroom, bedroom or playground",
AC9HSFS05,HASS,Foundation,,Inquiry and Skills,"share narratives and observations, using sources and terms about the past and places","creating a display about a special place or family event using photographs, artefacts and/or drawings|using terms about time when talking about their experiences; for example, “then”, “now”, “yesterday”, “today”, “tomorrow”|using appropriate terms to describe the direction and location of a place such as “near and far”, “above and below”, “beside and opposite”",
AC9HS1K01,HASS,Year 1,,Knowledge and Understanding,"differences in family structures and roles today, and how these have changed or remained the same over time","Identifying the similarities and differences of a range of family structures; for example, nuclear families, one-child families, large families, single-parent families, extended families, blended or step families, adoptive and foster parent families, grandparent families, and kinship groups|comparing families in the present with those from the recent past; for example, the size of families across the generations|examining the roles of family members over time, such as roles of parents, children and extended family members, and comparing these with family roles today",
AC9HS1K02,HASS,Year 1,,Knowledge and Understanding,continuity and change between aspects of their daily lives and their parents’ and grandparents’ childhoods,"comparing and commenting on photographs and oral histories to find out how daily lives have changed and remained the same over time; for example, talking to parents, grandparents and other elders|comparing what has changed in daily life over time; for example, homes, family traditions, diverse religious and cultural practices, leisure, school life, rules, and shopping/consumer habits|examining the traditional toys used by First Nations Australian children to play and learn; for example, Arrernte children learn to play string games so they can remember stories they have been told|identifying similarities and differences in classroom equipment, learning activities, school playgrounds and playground games through observations of provided artefacts and photos, and asking questions of adults from different generations",
AC9HS1K03,HASS,Year 1,,Knowledge and Understanding,"the natural, managed and constructed features of local places, and their location","identifying natural features (for example, hills, rivers, native vegetation and weather), managed features (for example, farms, parks and gardens) and constructed features (for example, roads and buildings) and locating them on a map|listening to and viewing Dreaming and Creation stories of First Nations Australians that identify the natural features of a place|listing the different types of buildings in their local area; for example, houses, shops, offices, factories, religious buildings and farm buildings|describing the daily and seasonal weather of their place using simple terms such as “rainy”, “hot”, “cold”, “windy” and “cloudy”, and comparing it with the weather of other places that they know or are aware of; for example, “It was windy at the beach but not at my house”, “It is colder on the mountain”, “It is rainy in the winter”, “It is hot in the summer”|explaining to classmates where places are and the directions to be followed when moving from one place to another, with the use of appropriate terms for direction and location; for example, terms such as “beside”, “forward”, “up”, “down”, “by”, “near”, “further”, “close to”, “before”, “after”, “here”, “there”, “at”",
AC9HS1K04,HASS,Year 1,,Knowledge and Understanding,how places change and how they can be cared for by different groups including First Nations Australians,"observing changes in natural, managed and constructed features in their place; for example, recent erosion, revegetated areas, planted crops or new buildings|identifying which resources they can recycle, reduce, re-use or none of these, and what local spaces and systems support these activities; for example, rules, signs, waste collection truck routes|describing how local places change due to changing weather and seasons, and how we can care for places because of those changes; for example, not walking in muddy areas during wet weather, and watering plants in dry weather|describing local features that people look after, finding out why and how these features need to be cared for, and who provides this care; for example, bushland, wetlands, a park or a heritage building|investigating examples of how First Nations Australians manage and care for places",
AC9HS1S01,HASS,Year 1,,Inquiry and Skills,"develop questions about objects, people, places and events in the past and present","posing questions with the stems “where”, “what”, “how” and “why” about families and places when provided with everyday objects and other sources, such as photos, found objects, maps and observation sketches|asking questions before, during and after listening to stories about people and places, and about their past and present|preparing questions for parents and members of older generations about how and where they lived in the past, and the places they value",
AC9HS1S02,HASS,Year 1,,Inquiry and Skills,"collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models","exploring stories from the past and present about people and families (for example, fiction books, letters, diaries, songs) and about places (for example, myths, Dreaming and Creation stories, fiction, story maps, films)|gathering evidence of features in a local place; for example, using observations, online aerial photographs and sketches, and noting how they change, such as by comparing current observations of a place with photographs of it taken in the past, or recording observations of weather and seasons|developing a pictorial table to categorise information; for example, matching clothes with seasons, activities with the weather, features with places, places with the work done there|creating a peg timeline in which labelled, drawn or photographic representations of events or objects from different generations are pegged onto string in the correct sequence|recording data about the locations of places and their features on maps and/or plans; for example, labelling the location of their home on a map of the local area, using a provided plan of their classroom and labelling its activity spaces",
AC9HS1S03,HASS,Year 1,,Inquiry and Skills,"interpret information and data from observations and provided sources, including the comparison of objects from the past and present","using information gained from sources, such as stories, photographs, fieldwork observations, satellite images and rock art, to answer “when”, “where”, “what”, “how” and “why” questions|identifying similarities and differences between activities over time by comparing objects of the past with those currently used; for example, comparing toys, games, clothes, phones, cooking utensils, tools, homework books|using comparative language when describing family life over time and/or comparing features of places, such as “smaller/bigger than”, “closer/further”, “not as big as”, “younger/older than”, “more rainy days”, “fewer/less”, “hotter/colder”, “sunnier/windier than”|exploring traditional and contemporary First Nations Australian stories about places and the past, and how places have changed|categorising objects, drawings or images by their features and explaining the reason for their categorisation; for example, categorising the features of a local place into natural (such as a native forest), constructed (such as a street of houses) and managed (such as a windbreak of trees)",
AC9HS1S04,HASS,Year 1,,Inquiry and Skills,"discuss perspectives related to objects, people, places and events","comparing students’ daily lives with those of their parents, grandparents, elders or a familiar older person and identifying which aspects of the past they would or would not want to experience|sharing personal preferences about their world (for example, their favourite weather, activities, places, celebrations, objects from the past) and explaining why they are favoured",
AC9HS1S05,HASS,Year 1,,Inquiry and Skills,draw conclusions and make proposals,"using collected information (for example, from stories told by parents, grandparents, elders or familiar older people; from comparison of objects; from geographic pictures) to make conclusions about continuity and change over time (for example, how family roles, occupations and/or technologies have changed or remained the same) and how places change (for example, because of the seasons)|describing features of a space or place that is important to them and explaining what they could do to care for it; for example, a chicken coop, a play area, their bedroom, the reading corner, the beach|imagining how a local feature or place might change in the future and proposing action they could take to improve a place or influence a positive future",
AC9HS1S06,HASS,Year 1,,Inquiry and Skills,"develop narratives and share observations, using sources, and subject-specific terms","retelling stories about life in the past through spoken narratives and the use of pictures, role-plays or photographs|using terms to denote the sequence of time; for example, “then”, “now”, “yesterday”, “today”, “past”, “present”, “later on”, “before I was born”, “in the future”, “generations”",
AC9HS2K01,HASS,Year 2,,Knowledge and Understanding,"a local individual, group, place or building and the reasons for their importance, including social, cultural or spiritual significance","suggesting reasons for the location of a local landmark before searching for resources that provide an explanation; for example, community building, statue or war memorial|investigating the history of a chosen person, building, site or place in the local community, using provided sources (for example, the internet, books, newspapers, community information guides, audio-visual material, digital sources, photographs) and relating a story that these reveal about the past|discussing why a particular site has heritage significance or cultural value for present generations; for example, it provides a record of a significant historical event, has aesthetic value, reflects the community’s identity|identifying and visiting, where appropriate, local sites, places and landscapes of significance to First Nations Australians; for example, engraving sites, rock paintings, natural sites or features such as the creeks or mountains|identifying and designing a local historical tour of a building or site; for example, one related to a particular cultural group",
