Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9HPFP01,HPE,Foundation,F-1,"Personal, Social and Community Health",investigate who they are and the people in their world,"making personal connections with stories that explore identity and belonging; discussing who they are, where they come from and people in their lives|exploring similarities and differences in family structures in First Nations Australian communities and other cultures|exploring cultural practices from different cultures, including the cultures of Asia, that are important to individuals, families and communities|identifying different families in their communities; for example, 2-parent, single-parent, extended and non-traditional families|identifying ways they use their strengths in physical activities to help themselves and others to be successful|recognising that they have a right to belong and contribute to a variety of groups",
AC9HPFP02,HPE,Foundation,F-1,"Personal, Social and Community Health",practise personal and social skills to interact respectfully with others,"explaining their reasons and actions in response to challenging situations in shared play experiences|identifying characters in texts who have been excluded from a group, exploring why they have been excluded and discussing how other characters could have been more inclusive|cooperating, collaborating and negotiating with others when participating in physical activities to achieve agreed outcomes|identifying behaviours that may be disrespectful and cause hurt or harm to others during play",
AC9HPFP03,HPE,Foundation,F-1,"Personal, Social and Community Health",express and describe emotions they experience,"identifying and describing the emotions of people who are happy, sad, excited, tired, angry, scared or confused|learning and using appropriate language and actions to communicate their feelings in different situations|recalling and sharing emotional responses to different situations and representing these in a variety of ways|reading and viewing stories about adventures, and talking about how characters feel and react when taking risks or responding to emergencies|talking about connections between feelings, body reactions and body language|expressing a variety of emotions, thoughts and views in a range of situations",
AC9HPFP04,HPE,Foundation,F-1,"Personal, Social and Community Health","explore how to seek, give or deny permission respectfully when sharing possessions or personal space",practising and refining how to ask for permission when sharing possessions or personal space|negotiating roles and demonstrating awareness of rights (such as body autonomy/integrity) and respect for different perspectives through imaginative and shared play experiences|exploring the importance of asking for permission and giving permission when sharing or negotiating in play and respecting someone’s right to say no,
AC9HPFP05,HPE,Foundation,F-1,"Personal, Social and Community Health","demonstrate protective behaviours, name body parts and rehearse help-seeking strategies that help keep them safe","exploring protective behaviours and help-seeking strategies they can use when they or others feel unsafe or uncomfortable|exploring and demonstrating assertive strategies to seek help when they or others feel unsafe|recognising online spaces and digital tools that are safe for them to use and recognising the importance of seeking help from a trusted adult if they feel unsafe while online|identifying a support network of adults they can trust to help them if they feel unsafe, uncomfortable or scared|recognising that all people have the right to bodily autonomy: the right to make choices about what others ask them to do with and to their bodies",
AC9HPFP06,HPE,Foundation,F-1,"Personal, Social and Community Health","identify health symbols, messages and strategies in their community that support their health and safety","identifying household substances that are dangerous and explaining what symbols are used to identify the danger|identifying symbols on food packages that indicate healthier choices|identifying different types of advertising that influence choices about food|exploring different community strategies that keep children safe; for example, pedestrian crossings and traffic lights, safety procedures at swimming pools and beaches, and traffic controllers at school crossings|recognising and following safety symbols and procedures at home and in water and road environments",
AC9HPFM01,HPE,Foundation,F-1,Movement and Physical Activity,practise fundamental movement skills in minor game and play situations,"applying different locomotor skills to move from one point to another|combining fine and gross motor skills in increasingly complex patterns|sending, controlling and receiving objects at different levels and in different ways|performing a range of water confidence skills such as floating with a buoyancy aid and putting their face in the water|demonstrating how to transfer weight from one part of the body to another|applying fundamental movement skills for purpose and enjoyment in natural environments",
AC9HPFM02,HPE,Foundation,F-1,Movement and Physical Activity,experiment with different ways of moving their body safely and manipulating objects and space,"suggesting and testing different ways to move in a playing space or different ways to use equipment and objects, and making judgements about which are most effective and which movements and equipment they prefer|persisting with challenges and demonstrating resilience while moving their body in a range of situations|participating in games that require them to be aware of personal safety in relation to game boundaries, rules and safe use of equipment|manipulating equipment in a range of different movement situations and tasks, including in minor games, imaginative play and when practising fundamental movement skills|demonstrating spatial awareness when moving around and through indoor and outdoor (natural) environments confidently and safely",
AC9HPFM03,HPE,Foundation,F-1,Movement and Physical Activity,participate in a range of activities in natural and outdoor settings and explore the benefits of being physically active,exploring a range of ways to be active and participate safely in outdoor or natural settings|playing traditional First Nations Australian games and discussing how they are like other games they have experienced|discussing opportunities to be active in spaces in and around their homes|exploring strategies for taking considered risks and developing self-regulation skills when moving and playing in outdoor settings,
AC9HPFM04,HPE,Foundation,F-1,Movement and Physical Activity,follow rules to promote fair play in a range of physical activities,"identifying and describing actions that would constitute fair and unfair play while participating in minor games|demonstrating how to play fairly in a range of minor games and play situations|discussing rules of different games that relate to safety, boundaries and appropriate use of equipment",
AC9HP2P01,HPE,Year 2,1-2,"Personal, Social and Community Health","describe their personal qualities and those of others, and explain how they contribute to developing identities","describing the personal qualities of characters in stories and how they are similar to and different from their own|describing how belonging to First Nations Australian cultural groups contributes to identities|exploring examples of cultural practices, including those of Australians of Asian heritage, that recognise the contributions of family and friends to identities|explaining how personal and cultural identities are influenced by the groups and communities to which we belong|participating in physical activities and describing how their own and others’ personal qualities contribute to successful outcomes|describing personal achievements and sharing how they felt and how it influenced their personal identities",
AC9HP2P02,HPE,Year 2,1-2,"Personal, Social and Community Health",identify and explore skills and strategies to develop respectful relationships,"identifying characters in texts who demonstrate respect and cooperation to develop respectful relationships|identifying characters in texts who demonstrate respect for different types of families and carers, including those of different cultures, abilities or compositions|demonstrating appropriate language (including verbal, non-verbal, body language and gestures) when encouraging and including others in physical activities, when completing movement tasks or practising for performance|discussing strategies we can use to show respect to First Nations Australians and acknowledge difference using appropriate language|describing behaviours that may cause hurt or harm to others, or cause them to feel disrespected, including verbal and physical forms of bullying",
AC9HP2P03,HPE,Year 2,1-2,"Personal, Social and Community Health",identify how different situations influence emotional responses,"recognising own emotions and demonstrating ways to manage how they express their emotions in different situations|exploring self-regulation strategies to manage emotional responses|identifying situations that may trigger strong emotional responses in themselves and others, and recognising the impact the responses can have on others|identifying how someone might feel, think and act during an emergency through role-play and imaginative play|predicting how a person or character might be feeling based on the words they use, their facial expressions and body language|recognising how self and others are feeling in a range of situations",
AC9HP2P04,HPE,Year 2,1-2,"Personal, Social and Community Health","practise strategies they can use when they need to seek, give or deny permission respectfully","practising strategies they can use when they need to give or refuse consent; for example, saying yes and no in an assertive manner, using non-verbal body cues and gestures|practising ways to interact with others in a fair and respectful way in play and other activities, regardless of differences in gender, abilities, race or personality|exploring situations where they need to seek, give or deny permission and practising strategies to assert themselves; for example, saying no to inappropriate touching",
AC9HP2P05,HPE,Year 2,1-2,"Personal, Social and Community Health",identify and demonstrate protective behaviours and help-seeking strategies they can use to help them and others stay safe,"identifying the body’s reaction to a range of situations, including safe and unsafe situations, and comparing the different emotional responses|identifying and rehearsing strategies they can use when requiring assistance, such as asking an adult they trust, reading signs and symbols to identify safe places, and solving a problem with friends|proposing strategies they can use at school and home that promote healthy use of digital tools|recognising photos and locations of safe places and a network of people who can help|discussing the importance of seeking help when problems are too big to solve by themselves|exploring how characters in texts use protective behaviours and help-seeking strategies to keep themselves and others safe",
AC9HP2P06,HPE,Year 2,1-2,"Personal, Social and Community Health",investigate a range of health messages and practices in their community and discuss their purposes,"identifying poison labels and medicine packaging and understanding to ask an adult before taking medicines|discussing how eating a variety of fresh foods can influence health and wellbeing by using The Australian Guide to Healthy Eating|investigating how foods are marketed and promoted to children through advertisements in online spaces, promotion in supermarkets, and labelling and packaging|exploring sustainable practices that students can implement in the classroom to improve the health and wellbeing of the class, such as composting food waste, creating an edible garden and reducing single-use plastics|creating rules and applying them at school and home to implement healthy and manageable practices with their use of digital tools",
AC9HP2M01,HPE,Year 2,1-2,Movement and Physical Activity,practise fundamental movement skills and apply them in a variety of movement situations,performing locomotor movements using different body parts to travel in different directions|selecting and implementing different movement skills to be successful in a range of games|performing fundamental movement skills involving controlling objects with equipment and different parts of the body|practising gliding forward and backward in the water using arm and kicking movements|demonstrating balances and describing what helps to maintain stable positions,
AC9HP2M02,HPE,Year 2,1-2,Movement and Physical Activity,"investigate different ways of moving their body, and manipulating objects and space, and draw conclusions about their effectiveness","demonstrating changes in speed, direction and level as they use locomotor and non-locomotor skills in sequences|inventing new games, based on rules and equipment from familiar games, and drawing conclusions about whether the rules and choice of equipment provide for an interesting, challenging and enjoyable game|using stimuli such as equipment, rhythm, music and words to create simple playground games and assessing which games they enjoy most|using different types of equipment to create an original game or solve a movement challenge and evaluating the game or solution against a set of criteria|participating in activities that require students to move around different outdoor spaces and discussing which types of movement are most appropriate to move around safely and efficiently",
AC9HP2M03,HPE,Year 2,1-2,Movement and Physical Activity,"participate in a range of physical activities in natural and outdoor settings, and investigate factors and settings that make physical activity enjoyable","recognising the physical features in a range of different environments, including natural and outdoor settings, that make physical activity in these spaces enjoyable|participating in children's games from First Nations Australian cultures, such as Keentan played by the Kalkadoon People of the north-west central districts of Queensland, and discussing similarities with other games and activities they enjoy|participating in a range of minor games and exploring which ones they enjoy and what makes them enjoyable|comparing the characteristics and benefits of physical activities that can take place in an outdoor setting to those that take place inside",
AC9HP2M04,HPE,Year 2,1-2,Movement and Physical Activity,co-construct and apply rules to promote fair play in a range of physical activities,discussing changes to rules that will make an activity fairer or more inclusive of all learners|explaining how rules contribute to fair play and applying them in group activities|demonstrating turn-taking and sharing equipment when participating in play and minor games,
AC9HP2M05,HPE,Year 2,1-2,Movement and Physical Activity,apply strategies to work collaboratively when participating in physical activities,working cooperatively with a partner when practising new skills|describing and demonstrating how to include others in physical activities|proposing and trialling how a game can be changed so that everyone can be included,
AC9HP4P01,HPE,Year 4,3-4,"Personal, Social and Community Health","investigate how success, challenge, setbacks and failure strengthen resilience and identities in a range of contexts","explaining how characters in stories overcome challenge and adversity and achieve success in different ways|investigating how First Nations Australians’ pride in cultural background strengthens identities|discussing how overcoming challenge or adversity together can unite a group of diverse people|exploring how responses to success, challenge, setbacks and failures are influenced by cultural beliefs and values|recognising how success, challenge, failure and enjoyment of physical activities influence identities",
AC9HP4P02,HPE,Year 4,3-4,"Personal, Social and Community Health","plan, rehearse and reflect on strategies to cope with the different changes and transitions they experience, such as the changes associated with puberty","discussing physical, social and emotional changes that occur as individuals get older, and exploring how these changes impact how they think and feel about themselves and different situations|identifying people or sources of information they can access if they have questions about the changes that occur during puberty|exploring the nature of family support networks in First Nations Australian communities and discussing how a wide range of family and community members support young people when they are going through changes and transitions|practising and refining coping skills they can use when faced with challenges or changes, such as positive self-talk, problem-solving, mindfulness, seeking help from families, peers and teachers|identifying scenarios in texts where characters experience and react to change and transition, evaluating the effectiveness of these responses and identifying other possible options that may be helpful",
AC9HP4P03,HPE,Year 4,3-4,"Personal, Social and Community Health",describe how choices and actions can be influenced by stereotypes,"exploring different gender stereotypes in texts and media, and discussing the messages they portray and how they can influence choices and actions|recognising that unfair or unequal treatment of people based on their gender, abilities or other differences is wrong and against their human rights|describing ways to make roles and responsibilities at home, at school and in communities fair, equitable and inclusive|practising ways in which they can contribute to people of different genders being treated in fair and equal ways",
AC9HP4P04,HPE,Year 4,3-4,"Personal, Social and Community Health","select, use and refine personal and social skills to establish, manage and strengthen relationships","predicting and reflecting on how other students might feel in a range of challenging situations, and discussing what they can do to support them|describing characters in texts who have demonstrated respect for difference and diversity in individuals and communities, and exploring the strategies they used to do this|using cooperative skills and offering encouragement to successfully complete a movement task, such as a partner balance, partner passing strategy or team strategy|discussing how demonstrating respect and empathy for First Nations Australians can build positive relationships|recognising that bullying behaviour can take many forms, including online, and proposing strategies to challenge bullying in and out of school",
AC9HP4P05,HPE,Year 4,3-4,"Personal, Social and Community Health",describe how valuing diversity influences wellbeing and identify actions that promote inclusion in their communities,"planning ways to celebrate the cultural diversity of students in their class, such as sharing recipes, stories and games from their cultural heritage|researching and participating in games from their own and others’ cultural heritage, and learning why games are important to build cultural awareness and appreciation|describing and practising safe bystander actions when they notice unfair or disrespectful behaviour towards others|modifying physical activities to ensure that everyone is included, such as by changing equipment, rules, playing space and number of players|recognising the important role of cultural narratives in describing the diversity, and sharing beliefs and practices, of First Nations Australian communities|exploring the diversity of backgrounds, experiences, beliefs and practices of different cultures, including the cultures of Asia",
