Code,Subject,Year Level,Strand,Descriptor,elaborations
AC9MFN01,Mathematics,Foundation,Number,"name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals","responding to a request to collect a quantity of objects or reading a numeral and selecting the associated quantity of items from a collection to match the number required; for example, collecting 9 paint brushes after hearing the word 'nine' | recognising the order in the sequence of numbers to 20 and identifying the number that is 'one less' than a given number and the number that is 'one more'; for example, playing instructive card games that involve reading and ordering number cards; using counting songs, story books and rhymes to establish the forwards and backwards counting sequence of numbers in the context of active counting activities | understanding and using terms such as 'first', 'second', 'third', ... 'fifth'... to indicate ordinal position in a sequence | recognising, writing and reading numerals written on familiar objects | connecting quantities to number names and numerals when reading and reciting stories and playing counting games"
AC9MFN02,Mathematics,Foundation,Number,recognise and name the number of objects within a collection up to 5 using subitising,"recognising how many objects are in a collection or in images on a card with a quick look and saying the associated number without counting | playing instructive card games that rely on the recognition of numbers represented in different ways; for example, playing memory games, matching pairs of quantities on dot cards where the arrangement on each is different; using subitising to compare and order collections"
AC9MFN03,Mathematics,Foundation,Number,quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,"establishing the language and process of counting, understanding that each object must be counted only once, that the arrangement of objects does not affect how many there are, and that the last number counted answers the question of 'How many?' | using counting to compare the size of two or more collections of like items | using counting and one-to-one correspondence to quantify the number of items required for a purpose | discussing how different cultures may have alternative ways of representing the count"
AC9MFN04,Mathematics,Foundation,Number,partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,"recognising numbers represented in physical or virtual ten-frames, and describing their reasoning | partitioning collections of up to 10 objects in different ways and saying the part-part-whole relationship | representing part-part-whole relationships in numbers up to 10 using physical or virtual materials | exploring number groupings in First Nations Australians' counting systems"
AC9MFN05,Mathematics,Foundation,Number,"represent practical situations involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies",using role-play and materials to represent mathematical relationships in stories | role playing or actively engaging in situations that involve quantifying or comparing collections of items or simple money transactions | representing situations expressed in First Nations Australians' stories that describe additive situations
AC9MFN06,Mathematics,Foundation,Number,represent practical situations involving equal sharing and grouping with physical and virtual materials and use counting or subitising strategies,using materials to role-play equal sharing | representing situations that involve counting several items and sharing them equally | exploring instructive games of First Nations Australians that involve sharing
AC9MFA01,Mathematics,Foundation,Algebra,"recognise, copy and continue repeating patterns represented in different ways","recognising, copying and describing different repeating patterns using materials, shapes, sounds and movements during activities and play | recognising repeating patterns used at home and in daily activities | recognising and describing repeating patterns that can be observed on Country/Place and in First Nation Australians artwork"
AC9MFM01,Mathematics,Foundation,Measurement,"identify and compare attributes of objects and events, including length, capacity, mass and duration, using direct comparisons and communicating reasoning","using language to describe the measurement attributes of length, mass, capacity and duration | directly comparing pairs of objects to say which is longer/shorter | starting 2 events at the same time to decide which takes longer | directly comparing pairs of everyday objects to say which is heavier/lighter"
AC9MFM02,Mathematics,Foundation,Measurement,"sequence days of the week and times of the day including morning, lunchtime, afternoon and night time, and connect them to familiar events and actions","ordering images of daily events on a string line across the room | distinguishing between the days of the school week and weekends | sequencing the events from a story in the order in which they occurred | creating, interpreting and discussing classroom rosters"
AC9MFSP01,Mathematics,Foundation,Space,"sort, name and create familiar shapes; recognise and describe familiar shapes within objects in the environment, giving reasons","sorting a collection of shapes into groups based on different features | creating a picture using a variety of shapes | recognising and naming shapes that are rectangles, squares, triangles and circles in component parts of everyday items | describing and naming shapes within objects that can be observed on Country/Place"
