Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9AMAFE01,Media Arts,Foundation,F-1,Exploring and Responding,explore how and why the arts are important for people and communities,"exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in arts works; for example, characters in portraits, cartoons, songs, chants or dances from different times and cultures|identifying and/or learning social or cultural dances that have meaning for people and communities, taking care to observe relevant protocols; for example, working with community representatives or using accredited resources|using dramatic play to explore ideas or understandings they observe or perceive in a text or image (print or screen); for example, exploring questions such as “What is happening?”, “What will happen next?”|identifying arts works and experiences in their lives, such as songs they sing, dances or drama they watch or perform, animations, computer games or music videos, public art, 2D, 3D or screen-based works they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers|singing songs that are used for celebrations, such as school songs, anthems, sports teams’ songs, birthday songs and songs that help teach content or concepts from other learning areas, such as health messages|exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood|listening to First Nations Australians talk about the importance of the arts for connecting to people, culture and Country/Place; for example, using resources created or co-created by First Nations Australians",
AC9AMAFD01,Media Arts,Foundation,F-1,Developing Practices and Skills,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas","playing with the tactile qualities of a range of materials (rough, smooth, spikey, gooey) and exploring how they feel about these qualities to develop ideas for a visual artwork, dance or soundscape; for example, using art materials, movement and/or voice to depict or embody the tactile qualities they have discovered; moving their body to communicate the smooth or rough qualities of a stone or ball|imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the characters; for example, working in groups and using dramatic play to imagine possibilities about characters and situations or asking questions such as “What happens next?”|identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques to represent a familiar object such as a face; improvising movements that trace a series of shapes such as circle, rectangle and triangle; improvising a melody that follows the contour of the shape, or working collaboratively to form frozen or still images of each shape|playing games to develop subject-specific practices such as pitch, beat and/or rhythm recognition; exploring ways that body parts, zones and bases can be moved safely and expressively; taking on the point of view of a fictional character in dramatic play|responding to the emotions they experience while listening to different pieces of music and using movement to share their response; for example, using scarves and movement, or creating visual images using materials such as crayons or paint|improvising rhythmic patterns for clapping or stamping, or inventing new movements for familiar action songs, and interpreting these visually using elements of art/design such as shapes, lines and/or colours, and materials such as paper and pencil or string|exploring their speaking and singing voices and discovering ways they can use their voices/vocalisation to communicate ideas and feelings|improvising movements to explain the steps in a process, and then using a camera to capture a series of images/photographic story that can be displayed in the classroom to remind everybody about the process",
AC9AMAFC01,Media Arts,Foundation,F-1,Creating and Making,create arts works that communicate ideas,"creating arts works in a range of forms to communicate ideas from lived personal or social experiences; for example, creating a dance or scenes showing favourite activities such as games; using digital devices to record their peers playing a game and creating a voice-over that describes what's happening; composing a song or chant about a favourite food or activity; drawing a home scene of people and animals|creating works in response to inspiration from sources such as play, imagination, observation, literature, artworks from their cultures and communities or arts knowledge and skill development activities|extending and varying known songs, chants or rhymes; for example, changing words, interpreting without using voice, adding movements/actions or improvising rhythm patterns as accompaniment|manipulating objects, puppets, 2D images and/or available technologies to create or retell stories|devising a chant/rap that a character from an animated series, a text or a fictional hero could use to communicate a health or sustainability message or to learn the steps in a process; recording the chant/rap using an available digital device and sharing live or via a school-managed space such as a learning management system|repurposing materials and objects such as clothing or packing boxes as starting points for imagining and developing scenes and scenarios; for example, using packing boxes to create an imagined environment or vehicle|considering as a class the characters and situations associated with a story and then re-imagining them by asking questions of the story, such as “What’s up?”, “What happens next?” or “What else might/could happen?"" to support the development of their own socio-dramatic or miniature worlds play",
AC9AMAFP01,Media Arts,Foundation,F-1,Presenting and Performing,share their arts works with audiences,"sharing their artworks with the class via a “gallery” or “performance walk”; for example, walking around the space looking at the works and using positive language to comment on the works and identify features such as similarities or differences, use of materials and elements of art/design, such as line|performing songs, soundscapes or chants/raps, using music skills they have learnt and practised, such as listening to and aiming to match starting pitch, staying in time with the group or following the agreed plan; for example, following a graphic score when performing a soundscape|taking images of class arts events (with permission from the people involved), creating an image sequence to document the occasion and adding sound; for example, importing the images to a software program, sequencing the images, and using instruments and voices to create a soundscape to accompany the images|talking about ideas such as themes, processes used to make the work, or features of the work such as patterns, pathways or lines; for example, talking with the teacher and explaining the important features of their work|presenting retellings of stories to peers; for example, through dramatic play using repurposed objects, toys or puppets they have made|sharing their work with their teacher and responding to questions such as “What is going on in your work?”, “Tell me the story of what is happening?”, “What did you enjoy about making this work?”|performing movement/dance sequences they have created for other groups in their class and introducing their work by describing their favourite moments in the sequence or explaining why they chose a particular movement|using digital devices to record their arts explorations; for example, curating (selecting, ordering) a sequence of digital images (photos) to show the steps in a process; for example, images that show how they created new colours by mixing primary colours (using playdough or paint) and adding commentary that expresses their feelings, emotions and understandings",
AC9AMA2E01,Media Arts,Year 2,1-2,Exploring and Responding,"explore where, why and how people across cultures, communities and/or other contexts experience media arts","identifying where they might experience media arts works in their lives and communities; for example, considering how media arts works communicate cultural knowledge and the purpose of a range of media types|using Viewpoints to ask questions about societies and cultures; for example, “What story is this media arts work telling me/us?”, “Who made this media arts work?”, “Where is this media arts work from?”|discussing the roles of media artists and what permission means; for example, deciding on a class set of rules for using and creating images, sounds and text in media arts works|considering how media arts works communicate and celebrate cultural knowledge in their own communities; for example, through podcasts or animated children’s shows",
AC9AMA2E02,Media Arts,Year 2,1-2,Exploring and Responding,explore examples of media arts produced and/or distributed by First Nations Australians,"exploring when, where, how and why First Nations Australians use media arts works to share knowledge about their cultures; for example, during celebrations such as National Aboriginal and Torres Strait Islander Children’s Day, NAIDOC Week, Reconciliation Week or the acknowledgement of significant occasions including Sorry Day|exploring children’s television programs, cartoons/animations and child-focused print media, such as an advertisement encouraging people to adopt a healthy lifestyle, created and distributed by First Nations Australians|observing how visual, audio and/or interactive elements are used in media arts works created by First Nations Australians; for example, exploring colours, symbols and patterns used in media arts works with representatives of the First Nations Australian community or through resources that are created or co-created by First Nations Australians|exploring media arts works created and/or co-created by First Nations Australians that communicate cultural narratives",
AC9AMA2D01,Media Arts,Year 2,1-2,Developing Practices and Skills,"explore ways of using media technologies responsibly to capture and organise images, sounds, text and/or interactive elements","exploring ways to use digital tools to capture moving image; for example, using a digital device to capture and manipulate short videos, add sound effects or voice-overs, and considering how best to combine the visual and audio elements to communicate ideas or a narrative|exploring how sound can be used to communicate ideas; for example, creating sound effects using found objects or sound recording technology to integrate with a picture book story|experimenting with images; for example, retelling the story of a school day using a digital camera to capture still or moving images and adding appropriate captions|experimenting with ways that media artists communicate with audiences by combining text, symbols and images; for example, combining headlines, subtitles and digital images to communicate ideas or emotions|using Viewpoints to develop questions as they experiment with media technologies, such as, “What happens if I take a photo up close to the object, and how does it change as I move further away?”, “How can I change the meaning of this image by adding different text headings?”",
AC9AMA2C01,Media Arts,Year 2,1-2,Creating and Making,use media languages and media technologies to construct representations,"creating a story through a series of captioned or voice-over images or direct to camera footage; exploring composition through character creation using images, sounds, and/or animation; for example, claymation|selecting and editing images, sound and text to re-create the characters in well-known stories or songs, using Viewpoints to develop questions when making decisions about composition; for example, asking questions about use of elements and content such as, “What images will I keep or delete?”, “Which image interests me and why?”|capturing and sequencing images and text to create a media arts work, such as a comic book that retells familiar or traditional stories|producing and presenting a media arts work for a particular purpose; for example, creating an advertisement that recommends appropriate behaviour when using cameras|using features such as shot types in media arts works; for example, identifying long-shots, mid-shots and close-ups; discussing what the shots tell the audience about the story",
AC9AMA2P01,Media Arts,Year 2,1-2,Presenting and Performing,share media arts works with audiences in informal settings,"collecting and sharing class stories and presenting them in the form of a class news bulletin, with permission of the people involved and observing relevant protocols, such as obtaining permission to use cultural material that belongs to a collective or a cultural group rather than an individual|presenting a media arts work they have made to the class, a small group or their teacher, and explaining how they made it and what they enjoyed about making it|considering relationships that peers may have with their work when creating, rehearsing and recording a radio play, and seeking permission to share it with another class|exploring what permission means; for example, consulting relevant people such as cultural knowledge holders or using online safety resources, and deciding on a class set of rules for using and creating images, sounds and text in media arts works",
AC9AMA4E01,Media Arts,Year 4,3-4,Exploring and Responding,"explore where, why and how media arts is created and/or distributed across cultures, times, places and/or other contexts","sequencing images, sounds and/or text to clearly establish the beginning, middle and end of a story or event; for example, taking a series of photographs or a short film sequence that represents comic superheroes and villains through setting, costume and body language|identifying meaning and describing representations in media arts works from different social, cultural or historical contexts; for example, examining the different ways traditional stories are retold using media technologies or the use of stereotypes in advertising|comparing media arts works made for different purposes using appropriate language, and identifying features such as use of conventions in a variety of media types|using appropriate language to discuss the meaning of their own media arts works; for example, in writing or through an oral, visual or multimedia presentation|investigating digital or analog storyboarding as a planning tool; for example, preparing a storyboard for a short film, stop motion or comic strip, to create a sequence of actions, changes or events; rearranging the sequence of boards, or adding and removing boards, to change the meaning or add new meaning to the narrative, and testing how a group of people responds",
