Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9AMUFE01,Music,Foundation,F-1,Exploring and Responding,explore how and why the arts are important for people and communities,"exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in arts works; for example, characters in portraits, cartoons, songs, chants or dances from different times and cultures|identifying and/or learning social or cultural dances that have meaning for people and communities, taking care to observe relevant protocols; for example, working with community representatives or using accredited resources|using dramatic play to explore ideas or understandings they observe or perceive in a text or image (print or screen); for example, exploring questions such as “What is happening?”, “What will happen next?”|identifying arts works and experiences in their lives, such as songs they sing, dances or drama they watch or perform, animations, computer games or music videos, public art, 2D, 3D or screen-based works they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers|singing songs that are used for celebrations, such as school songs, anthems, sports teams’ songs, birthday songs and songs that help teach content or concepts from other learning areas, such as health messages|exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood|listening to First Nations Australians talk about the importance of the arts for connecting to people, culture and Country/Place; for example, using resources created or co-created by First Nations Australians",
AC9AMUFD01,Music,Foundation,F-1,Developing Practices and Skills,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas","playing with the tactile qualities of a range of materials (rough, smooth, spikey, gooey) and exploring how they feel about these qualities to develop ideas for a visual artwork, dance or soundscape; for example, using art materials, movement and/or voice to depict or embody the tactile qualities they have discovered; moving their body to communicate the smooth or rough qualities of a stone or ball|imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the characters; for example, working in groups and using dramatic play to imagine possibilities about characters and situations or asking questions such as “What happens next?”|identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques to represent a familiar object such as a face; improvising movements that trace a series of shapes such as circle, rectangle and triangle; improvising a melody that follows the contour of the shape, or working collaboratively to form frozen or still images of each shape|playing games to develop subject-specific practices such as pitch, beat and/or rhythm recognition, exploring ways that body parts, zones and bases can be moved safely and expressively; taking on the point of view of a fictional character in dramatic play|responding to the emotions they experience while listening to different pieces of music and using movement to share their response; for example, using scarves and movement, or creating visual images using materials such as crayons or paint|improvising rhythmic patterns for clapping or stamping, or inventing new movements for familiar action songs, and interpreting these visually using elements of art/design such as shapes, lines and/or colours, and materials such as paper and pencil or string|exploring their speaking and singing voices and discovering ways they can use their voices/vocalisation to communicate ideas and feelings|improvising movements to explain the steps in a process, and then using a camera to capture a series of images or a photographic story that can be displayed in the classroom to remind everybody about the process",
AC9AMUFC01,Music,Foundation,F-1,Creating and Making,create arts works that communicate ideas,"creating arts works in a range of forms to communicate ideas from lived personal or social experiences; for example, creating a dance or scenes showing favourite activities such as games; using digital devices to record their peers playing a game and creating a voice-over that describes what's happening; composing a song or chant about a favourite food or activity; drawing a home scene of people and animals|creating works in response to inspiration from sources such as play, imagination, observation, literature, artworks from their cultures and communities or arts knowledge and skill development activities|extending and varying known songs, chants or rhymes; for example, changing words, interpreting without using voice, adding movements/actions or improvising rhythm patterns as accompaniment|manipulating objects, puppets, 2D images and/or available technologies to create or retell stories|devising a chant/rap that a character from an animated series, a text or a fictional hero could use to communicate a health or sustainability message or to learn the steps in a process; recording the chant/rap using an available digital device and sharing live or via a school-managed space such as a learning management system|repurposing materials and objects such as clothing or packing boxes as starting points for imagining and developing scenes and scenarios; for example, using packing boxes to create an imagined environment or vehicle|considering as a class the characters and situations associated with a story and then re-imagining them by asking questions of the story, such as “What’s up?”, “What happens next?” or “What else might/could happen?"" to support the development of their own socio-dramatic or miniature worlds play",
AC9AMUFP01,Music,Foundation,F-1,Presenting and Performing,share their arts works with audiences,"sharing their artworks with the class via a “gallery” or “performance walk”; for example, walking around the space looking at the works and using positive language to comment on the works and identify features such as similarities or differences, use of materials and elements of art/design, such as line|performing songs, soundscapes or chants/raps, using music skills they have learnt and practised, such as listening to and aiming to match starting pitch, staying in time with the group or following the agreed plan; for example, following a graphic score when performing a soundscape|taking images of class arts events (with permission from the people involved), creating an image sequence to document the occasion, and adding sound; for example, importing the images to a software program, sequencing the images, and using instruments and voices to create a soundscape to accompany the images|talking about ideas such as themes, processes used to make the work, or features of the work such as patterns, pathways or lines; for example, talking with the teacher and explaining the important features of their work|presenting retellings of stories to peers; for example, through dramatic play using repurposed objects, toys or puppets they have made|sharing their work with their teacher and responding to questions such as “What is going on in your work?”, “Tell me the story of what is happening?”, “What did you enjoy about making this work?”|performing movement/dance sequences they have created for other groups in their class and introducing their work by describing their favourite moments in the sequence or explaining why they chose a particular movement|using digital devices to record their arts explorations; for example, curating (selecting, ordering) a sequence of digital images (photos) to show the steps in a process; for example, images that show how they created new colours by mixing primary colours (using playdough or paint) and adding commentary that expresses their feelings, emotions and understandings",
AC9AMU2E01,Music,Year 2,1-2,Exploring and Responding,"explore where, why and how people across cultures, communities and/or other contexts experience music","listening to and talking about music that features instruments and/or voices/vocalisations from diverse contexts and cultures, and sharing observations about the music, such as identifying the instruments used or identifying the purpose the music was composed for; identifying and learning songs for special occasions (for example, birthday songs) or exploring how music is used to enhance the action or mood in a game they play on a digital device or a cartoon they watch (for example, “How is the music telling me that everyone is happy or that the rainforest is sad?”)|exploring ways that people in their local community are making and experiencing music; for example, identifying ways of being a musician such as singer, songwriter, composer, instrumentalist, sound engineer or digital music producer; being a listener or audience member (at home, in places designed especially for music performance and/or in physical or virtual public spaces); making a class list of places where they experience music each day and noting who the performers/composers are and their responses to the music (for example, responding to questions such as, “Which music makes you want to sing along?”, “Why don’t we know who composed this music?” and “Does that matter?”)|identifying opportunities for engaging with music in their daily life by being a composer, performer or audience; for example, singing when no-one else can hear you, singing in a group, writing and recording songs using available digital devices and apps, listening to music, improvising chants/raps to make everyday tasks more interesting, noticing how music is used in screen-based products such as games, cartoons or e-books|discussing where, how and why they and their peers or family members experience music, and their music preferences; for example, compiling a playlist that combines their favourite music from the different generations in a family or creating a school playlist|practising active listening skills; for example, moving with the beat and clapping rhythmic ideas or being aware of pitch and volume when they are singing/vocalising and/or playing instruments",
AC9AMU2E02,Music,Year 2,1-2,Exploring and Responding,explore examples of music composed and/or performed by First Nations Australians,"identifying where and how they can experience music composed and/or performed by First Nations Australians, such as via mainstream music platforms (live performance, video, television, radio, streaming), music for ceremonies at their school, in their community, or as part of state and national events|exploring the diverse music styles represented in music composed and performed by First Nations Australians; for example, listening to music that is available through mainstream media; music performed at a local festival, by street performers, by choirs and/or orchestras; or music created or performed for events such as openings of cultural or community events or as part of a Welcome to Country, and asking questions such as “What instruments and voices can I hear?”, “How is this music communicating message/s about Country/Place?” or focusing exclusively on the music (the sound): “How is this music similar or different to other music I listen to?”|exploring how the elements of music are used to create specific effects in screen-based or theatrical works that communicate First Nations Australian cultural knowledge; for example, viewing cartoons or animations that retell traditional stories and using Viewpoints to ask questions such as “How is texture being used to create tension in this part of the story?”, “How is melody being used to represent characters in this story?”, “How are tempo and dynamics being used to communicate the mood or feeling?”",
AC9AMU2D01,Music,Year 2,1-2,Developing Practices and Skills,develop listening skills and skills for singing and playing instruments,"experimenting with their speaking and singing voices/vocalisation to create a range of expressive effects; for example, varying dynamics or exploring different ways of sliding, scooping or bending, snapping, blending or creating a mood or atmosphere|playing music games or taking part in skill-development activities to develop skills for listening, composing and performing; for example, movement/body percussion games that develop skills relating to pulse, beat and rhythm|improvising on pitch and rhythm patterns to develop skills relevant to different elements of music; for example, echo clapping, calling and response singing|participating in singing games/activities that involve pitch awareness or matching pitch; listening to features of music such as dynamics or articulation and replicating or varying what they hear; playing games that involve repeating or extending a given idea such as a melodic or rhythmic pattern|developing listening skills for specific purposes, such as listening to count-ins, to become confident about tempo; being quiet when listening to live music (and learning when applause or comment is expected during a performance); listening to ensure their voice/vocalisation/part is blended with other voices/being projected at about the same dynamic level when singing or playing in a group|exploring and improvising ways to create and vary sounds using a range of sound sources, such as voice/vocalisation, classroom instruments, found/environmental/repurposed objects (buckets, leaves, etc.) or digital instruments; for example, exploring how they can vary sounds using elements of music such as dynamics, articulation or tone colour, the effects they can create by combining voices and instruments or combining sounds and silences, and asking questions such as, “Which way of playing/singing sounds best?”, “What is the way I want it to sound?”|developing understanding of what matching pitch means; for example, by using a digital tuner or closing eyes and gradually adjusting to match a partner’s pitch|practising techniques for singing songs and playing classroom instruments",
AC9AMU2C01,Music,Year 2,1-2,Creating and Making,select and combine elements of music when composing and practising music for performance,"contributing to decisions about how to interpret the elements of music, such as tempo (duration/time), dynamics and/or articulation when performing songs, chants, rhymes or instrumental music|improvising and making decisions about how to combine sounds to create compositions; for example, combining pitch and rhythm patterns, improvising melodies and drone accompaniments, making decisions about instrumentation, articulation, texture and dynamics|using voices and body percussion to create music that features contrasting examples of elements of music, such as sound/silence, fast/slow, long/short, high/low, loud/soft|improvising patterns of body movement, such as clapping or stamping, to create accompaniments; for example, accompaniments for songs|practising a repertoire of songs, chants and rhymes focusing on using elements of music such as tempo, dynamics or articulation to create expressive effects|using signs and symbols to notate or document patterns or soundscapes and/or using an available device to record work in progress so that they can listen and make decisions about what to do next|practising music using accessible technologies; for example, using recordings to make decisions about dynamics or tempo|writing lyrics for a chant/rap and improvising to develop rhythmic patterns they can use to perform the lyrics; for example, combining unison sections (voices alone) with multi-part sections (voices and body percussion or instruments)",
AC9AMU2P01,Music,Year 2,1-2,Presenting and Performing,sing and play music in informal settings,"singing songs, performing chants/raps or playing instrumental music they have learnt or composed for an audience of peers and teachers|following agreed decisions about how the music should sound; for example, using singing voice rather than speaking voice, holding beaters or instruments in ways that produce clear and clean sound, performing at the agreed tempo|making decisions about how/where to sit/stand in a performance space; for example, deciding if they can see cues/signals from other performers or a conductor more easily if they are standing in curved or straight rows, or whether they can perform an instrumental part more accurately/comfortably when standing or sitting|introducing a performance by writing text for a slide that shares information about the music with the audience; for example, the title of the music, the name of the composer and identifying where, when or why it was composed, and then projecting the slide before or during the performance|listening intentionally and respectfully during performances and, when invited, participating in the performance by using body percussion (clapping, tapping, stamping) or singing|contributing to post-performance discussions; for example, sharing ideas about what the best part of the performance was or asking the performers questions such as, “How long have you been singing/playing as a group?” or “How did you get your instrument to …?”",
AC9AMU4E01,Music,Year 4,3-4,Exploring and Responding,"explore where, why and how music is composed and/or performed across cultures, times, places and/or other contexts","exploring examples of music created for similar purposes across different times and/or places, such as music for dancing, songs that communicate messages (health/wellbeing/identity messages), feelings or emotions (how the songwriter feels about a person or place) or knowledge (narrative songs/songs that tell stories) and asking questions about how elements of music are used; for example, “Can I identify and clap the main rhythmic pattern or sing the melody in this song?”, “Which instruments are being used in the performance and are they the ‘original’ instruments the composer intended would be used?”|examining the purpose for which music is used in their lives and community; for example, identifying and listening to music performed by a local choir or cultural group and responding to it (by sharing what they like, find interesting or would like to know more about in the music; describing how the music makes them feel)|comparing the expectations and requirements of performers and audiences in different performance settings; for example, discussing when it is acceptable to talk, dance or clap during a performance|exploring ways of notating or documenting forms of music, such as graphic notation, lead-sheets (lyrics, melody and harmony/chords), using visual images or staff notation and/or using music terminology, identifying and explaining how each type of notation/documentation conveys information to performers|exploring ways to make instruments from a range of materials; for example, using recycled/repurposed materials to construct instruments that produce sounds across a range of pitches and/or tone colours and effects; for example, cardboard tubes filled with cotton and rice, or food wrappers scrunched up loosely in recycled plastic bags; then using these instruments to create Foley sounds for a soundscape to accompany an exhibition of sculpture made from recycled/repurposed materials",
