Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9SFU01,Science,Foundation,,Science Understanding,observe external features of plants and animals and describe ways they can be grouped based on these features,"observing fruits and vegetables and identifying them as parts of plants such as roots, flowers, fruits or leaves|recognising humans as animals, describing external features of humans and exploring similarities and differences compared with other animals|using magnifying glasses or digital cameras to observe and identify external features of plants including seeds, flowers, fruits and roots, or of animals such as eyes, body covering, legs and wings|sorting collections of model animals and explaining different grouping strategies|recognising First Nations Australians’ use of observable features to group living things|exploring how First Nations Australians’ observations of external features of living things are replicated in traditional dance",
AC9SFU02,Science,Foundation,,Science Understanding,"describe how objects move and how factors including their size, shape or material influence their movement","observing how toys move, and grouping them based on their movement|observing and describing ways different and unusually shaped objects such as blocks, tubes or eggs move when rolled down a slope|comparing the way different-sized, similar-shaped objects such as tennis balls, golf balls, marbles or basketballs roll and bounce|exploring how the material a ball is made from affects the way it moves, such as plastic, foam, cloth or rubber balls on a surface|exploring how the size and shape of traditional instructive toys used by First Nations Australians influence their movement",
AC9SFU03,Science,Foundation,,Science Understanding,recognise that objects can be composed of different materials and describe the observable properties of those materials,"observing and manipulating objects to identify the materials they are made of and recognising that some objects are made of more than one type of material|recognising that tools such as magnifying glasses enable more-detailed observations|sorting and grouping materials based on observed properties such as colour, hardness, texture and flexibility|creating a display of different materials, naming each material and exploring language to describe properties of materials|using a digital camera to collect images of objects on a materials scavenger hunt|suggesting why different parts of everyday objects, such as saucepans and clothing, are made from different materials|investigating the ways in which First Nations Australians make utensils for different purposes by combining different materials",
AC9SFH01,Science,Foundation,,Science as a Human Endeavour,explore the ways people make and use observations and questions to learn about the natural world,"using their senses to make observations and exploring how scientists use their senses as well as equipment to make observations|viewing examples of observations such as rock paintings, bark drawings, age-appropriate written reports, labelled drawings or photographs to explore ways they can make and record observations|exploring how First Nations Australians gain knowledge about the land and its vital resources, such as water and food, through observation|interacting with stories or documentaries about scientists such as Dame Jane Goodall or Sir Joseph Banks and noticing the ways they make their observations such as through drawings, collections, sound recordings and photography and how they ask questions about what they think they will observe and find|watching an age-appropriate documentary; noticing how people including scientists, engineers, naturalists or citizen scientists ask questions; and posing their own questions",
AC9SFI01,Science,Foundation,,Science Inquiry Skills,pose questions and make predictions based on experiences,"posing questions based on experiences, such as: ‘What part of a plant is broccoli?’ or ‘How high do balls bounce?’|posing questions about everyday objects and the materials that they may be made of|making predictions before field work, such as which plants and animals they may observe in the school grounds|making predictions about how an unusually shaped object such as an egg or a hexagonal block might move down a slope",
AC9SFI02,Science,Foundation,,Science Inquiry Skills,engage in investigations safely and make observations using their senses,"discussing ways to conduct investigations safely, such as by being sun safe, not running with equipment, not tasting objects or materials, and following teacher instructions|explaining safety considerations for using the senses of touch, smell, sight and hearing, and discussing why we do not use taste to make observations in science|using provided tools such as binoculars, magnifying glasses, digital photography or video to enhance their observations of plants and animals|recording observations using numbers, dots, drawings, voice recordings, digital photography or video",
AC9SFI03,Science,Foundation,,Science Inquiry Skills,represent observations in provided templates and identify patterns with guidance,"using provided tables or graphic organisers to sort images or models of plants and animals into groups based on external features|collaborating to create a floor or wall display to link images or samples of materials to images of observed objects|identifying common features of familiar groups of animals, such as fish, birds or reptiles|identifying patterns of movement of objects, with guidance, such as that balls roll easily in a straight line when pushed, or toy cars move in certain ways because of their wheels|identifying patterns in uses of everyday objects made of similar materials, such as wood, plastic, metal or glass",
AC9SFI04,Science,Foundation,,Science Inquiry Skills,compare observations with predictions with guidance,"revisiting their predictions and with guidance identifying whether their predictions matched their observations|comparing, with guidance, observations of plants or animals made during field work with their predictions|using a provided table to draw or dictate their prediction and their observation and identifying whether they are the same or different",
AC9SFI05,Science,Foundation,,Science Inquiry Skills,"share questions, predictions, observations and ideas with others","sharing questions, making predictions and describing observations to others through discussions and circle groups|recounting stories and posing questions about their own experiences learning about the natural world, such as when gardening or observing plants and animals at home or visits to conservation areas or centres|acknowledging and exploring First Nations Australians’ ways of communicating information about anatomical features of plants and animals|showing or describing how objects can be moved in different ways and responding to questions|role-playing or showing how people use different equipment to make scientific observations|representing external features of animals and plants using a range of materials such as blocks, modelling clay, craft materials or paper|communicating questions, predictions and observations using posters, collages, digital displays, drawings or storyboards",
AC9S1U01,Science,Year 1,,Science Understanding,"identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs","identifying the places where plants and animals live, including in our homes, local areas such as ponds, national parks, gardens or zoos|identifying what they do to look after pets or plants at home and grouping these activities|identifying and comparing the needs of a variety of plants and animals, including humans, based on their own experiences|creating dioramas of a place a plant or animal lives, and identifying the features that enable it to meet its needs|recognising how First Nations Australians care for living things|exploring why caring for plants and animals is important including as sources of food and fibre",
