Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9AVAFE01,Visual Arts,Foundation,F-1,Exploring and Responding,explore how and why the arts are important for people and communities,"exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in arts works; for example, characters in portraits, cartoons, songs, chants or dances from different times and cultures|identifying and/or learning social or cultural dances that have meaning for people and communities, taking care to observe relevant protocols; for example, working with community representatives or using accredited resources|using dramatic play to explore ideas or understandings they observe or perceive in a text or image (print or screen); for example, exploring questions such as “What is happening?”, “What will happen next?”|identifying arts works and experiences in their lives, such as songs they sing, dances or drama they watch or perform, animations, computer games or music videos, public art, 2D, 3D or screen-based works they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers|singing songs that are used for celebrations, such as school songs, anthems, sports teams’ songs, birthday songs and songs that help teach content or concepts from other learning areas, such as health messages|exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood|listening to First Nations Australians talk about the importance of the arts for connecting to people, culture and Country/Place; for example, using resources created or co-created by First Nations Australians",
AC9AVAFD01,Visual Arts,Foundation,F-1,Developing Practices and Skills,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas","playing with the tactile qualities of a range of materials (rough, smooth, spikey, gooey) and exploring how they feel about these qualities to develop ideas for a visual artwork, dance or soundscape; for example, using art materials, movement and/or voice to depict or embody the tactile qualities they discovered; moving their body in ways to represent the smooth nature of a stone or ball|imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the character; for example, working in groups and using dramatic play to imagine possibilities about characters and situations or asking questions such as “What happens next?”|identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques to represent a familiar object such as a face; improvising movements that trace a series of shapes such as circle, rectangle and triangle; improvising a melody that follows the contour of the shape, or working collaboratively to form frozen or still images of each shape|playing games to develop subject-specific practices such as pitch, beat and/or rhythm recognition, exploring ways that body parts, zones and bases can be moved safely and expressively; taking on the point of view of a fictional character in dramatic play|responding to the emotions they experience while listening to different pieces of music and using movement to share their response; for example, using scarves and movement, or creating visual images using materials such as crayons or paint|improvising rhythmic patterns for clapping or stamping or inventing new movements for familiar action songs, and interpreting these visually using elements of art/design such as shapes, lines and/or colours, and materials such as paper and pencil or string|exploring their speaking and singing voices and discovering ways they can use their voices/vocalisation to communicate ideas and feelings|improvising movements to explain the steps in a process, and then using a camera to capture a series of images or a photographic story that can be displayed in the classroom to remind everybody about the process",
AC9AVAFC01,Visual Arts,Foundation,F-1,Creating and Making,create arts works that communicate ideas,"creating arts works in a range of forms to communicate ideas from lived personal or social experiences; for example, creating a dance or scenes showing favourite activities such as games; using digital devices to record their peers playing a game and creating a voice-over that describes what's happening; composing a song or chant about a favourite food or activity; drawing a home scene of people and animals|creating works in response to inspiration from sources such as play, imagination, observation, literature, artworks from their cultures and communities or arts knowledge and skill development activities|extending and varying known songs, chants or rhymes; for example, changing words, interpreting without using voice, adding movements/actions or improvising rhythm patterns as accompaniment|manipulating objects, puppets, 2D images and/or available technologies to create or retell stories|devising a chant/rap that a character from an animated series, a text or a fictional hero could use to communicate a health or sustainability message or to learn the steps in a process; recording the chant/rap using an available digital device and sharing live or via a school-managed space such as a learning management system|repurposing materials and objects such as clothing or packing boxes as starting points for imagining and developing scenes and scenarios; for example, using packing boxes to create an imagined environment or vehicle|considering as a class the characters and situations associated with a story and then re-imagining them by asking questions of the story, such as “What’s up?”, “What happens next?” or “What else might/could happen?"" to support the development of their own socio-dramatic or miniature worlds play",
AC9AVAFP01,Visual Arts,Foundation,F-1,Presenting and Performing,share their arts works with audiences,"sharing their artworks with the class via a “gallery” or “performance walk”; for example, walking around the space looking at the works and using positive language to comment on the works and identify features such as similarities or differences, use of materials and elements of art/design, such as line|performing songs, soundscapes or chants/raps, using music skills they have learnt and practised, such as listening to and aiming to match starting pitch, staying in-time with the group or following the agreed plan; for example, following a graphic score when performing a soundscape|taking images of class arts events (with permission from the people involved), creating an image sequence to document the occasion, and adding sound; for example, importing the images to a software program, sequencing the images, and using instruments and voices to create a soundscape to accompany the images|talking about ideas such as themes, processes used to make the work, or features of the work such as patterns, pathways or lines; for example, talking with the teacher and explaining the important features of their work|presenting retellings of stories to peers; for example, through dramatic play using repurposed objects, toys or puppets they have made|sharing their work with their teacher and responding to questions such as “What is going on in your work?”, “Tell me the story of what is happening?”, “What did you enjoy about making this work?”|performing movement/dance sequences they have created for other groups in their class and introducing their work by describing their favourite moments in the sequence or explaining why they chose a particular movement|using digital devices to record their arts explorations; for example, curating (selecting, ordering) a sequence of digital images (photos) to show the steps in a process; for example, images that show how they created new colours by mixing primary colours (using playdough or paint) and adding commentary that expresses their feelings, emotions and understandings",
AC9AVA2E01,Visual Arts,Year 2,1-2,Exploring and Responding,"explore where, why and how people across cultures, communities and/or other contexts experience visual arts","investigating a diverse range of artworks made by living Australian artists; for example, artworks from a local, national, state or regional collection|exploring when, where, how and why First Nations Australians use visual arts, crafts and designs to share knowledge about cultures; for example, during celebrations such as Aboriginal Children's Week, NAIDOC week, Reconciliation Week or to acknowledge significant occasions such as Sorry Day|using Viewpoints to co-develop questions to explore and investigate ideas and understandings about artworks, craft works or designs; for example, “What do I think is the story in this artwork?”, “What do I recognise in this artwork?”|using Viewpoints to co-develop questions to explore an artist and their practice; for example, “Who is the artist?”, “When and where was this artwork created?”, “What materials and techniques might this artist have used?”|identifying similarities and differences in artworks that represent subject matter or ideas they may be exploring in other learning areas; for example, exploring artworks that represent significant events from different times such as celebrations, or subject matter such as living creatures and their relationships with their environment",
AC9AVA2E02,Visual Arts,Year 2,1-2,Exploring and Responding,explore examples of visual arts created by First Nations Australians,"exploring how artworks created by First Nations Australian artists feature places as a way to show us why where we are is a part of who we are|identifying where they might experience First Nations Australians’ cultural expressions in their lives and communities and as part of state and national events, taking notice of ways that artists observe protocols and respect Elders or knowledge holders|listening to the voices of First Nations Australian artists as they describe the importance of Country/Place to their art-making; for example, through direct engagement or using resources created or co-created by First Nations Australians|observing how visual conventions are used in artworks and designs created by First Nations Australians; for example, exploring colours, symbols and patterns used in artworks with representatives of the First Nations Australian community or through resources that are created or co-created by First Nations Australians|exploring artworks that represent First Nations Australians’ interpretations of the night sky, co-creating symbols and/or designs to represent shapes and patterns that can be seen at different times of the year with First Nations Australians who have cultural authority",
AC9AVA2D01,Visual Arts,Year 2,1-2,Developing Practices and Skills,"experiment and play with visual conventions, visual arts processes and materials","playing with a range of natural and/or constructed materials to experiment with visual conventions and visual arts processes; for example, creating mud sculptures, or using sticks, leaves and playdough to explore texture|unpacking a surprise bag of everyday tools and materials, and working silently in small groups to make something within limitations; for example, using materials of only one colour or making sculptural forms from paper or cardboard using only folding and tearing processes|using Viewpoints to develop questions to reflect on their arts experiences; for example, “What was challenging about working in a limited timeframe?”, “What was something new that I discovered about the material?”, “What failures led to new discoveries?”|identifying the difference between open lines and closed shapes; digitally filling a selection or colour block using a collage of closed shapes to form silhouettes of recognisable objects, people or other living things|examining artworks and trialling “layer + layer + layer” as a way of building surfaces, colour, texture and interest; for example, experimenting to create a layered world with pastels, then watercolour, ink and wax, and once the experiment is completed, identifying how each material could be used in a future artwork|exploring visual conventions using a wide range of materials; for example, creating lines using media such as pastels, chalk, paint, ripped paper, textiles and markers; or going on a “line hunt” to identify and photograph the different lines they see around their school environment using a digital camera, or creating rubbings",
AC9AVA2C01,Visual Arts,Year 2,1-2,Creating and Making,"use visual conventions, visual arts processes and materials to create artworks","using a combination of chaotic/accidental mark-making with more detailed intentional mark-making; for example, using blobs of paint with added outlines and detail, and using imagination and creativity to build on the shapes to see what emerges|using Viewpoints to develop questions as they experiment with arrangement and rearrangement to shuffle visual conventions, subject matter and materials around a designated area and to deliberately change the meaning of a visual story; for example, “What happens if I make the subject fill the page?” or “Can I change the meaning of my work by using darker or lighter tones?”|using visual brainstorming to build ideas for artworks and using Viewpoints to develop questions to push ideas further; for example, “What happens if I combine these ideas?”, “How can I adapt this idea?”, “What happens if I remove part of this design?”|creating a relief print through nature-printing, or creating collagraphs by creating a raised textured surface by using glue, thread/string and textured paper to create monoprints; cutting these shapes out and making a collage to create a recognisable form, such as a face or an animal|using 3D construction (sculpture) methods to represent subject matter or ideas being explored in another learning area; for example, building on their understanding of living things as a starting point to use modelling materials such as potato clay and found objects to represent the life cycle of an insect|using a combination of digital art and analog art-making, such as using photography or drawing apps for painting and drawing, to create a collaged abstract work that represents feelings and emotions; for example, responding with colour, line and shape to music to create work that communicates how the music makes them feel",
AC9AVA2P01,Visual Arts,Year 2,1-2,Presenting and Performing,share artworks and/or visual arts practice in informal settings,"presenting an artwork they have made to the class, a small group or their teacher and explaining what they like about it|creating a spontaneous and experimental artwork and only showing a small portion of it to their audience as they dramatise the making of the work; or using unlikely objects for brushes, testing colours and “brush” strokes using expressive movements, and applying a cardboard “window” frame as a flourish across the finished painting to find the most “successful section”, trimming away the remainder and concluding the performance by cutting a “window frame” from paper to frame their final selection for display|using an everyday object as the starting point, drawing the object, then personifying it by adding character qualities, attributes and a name; then taking it in turns to match each student’s artwork with the appropriate object, explaining how they arrived at their decision|deciding on an appropriate audience and ways to share their artworks; for example, sharing with the class a work-in-progress or posting their work on a school learning management system to allow their families to see and appreciate it",
AC9AVA4E01,Visual Arts,Year 4,3-4,Exploring and Responding,"explore where, why and how visual arts are created and/or presented across cultures, times, places and/or other contexts","exploring a diverse range of artworks created by artists working collaboratively and brainstorming the reasons why artists might choose to work as a team, and then comparing their ideas with information the artists have shared about their collaborative practice|exploring artists’ practice by sourcing information created or co-created by the artist and using Viewpoints to develop questions to develop understanding of the practices, such as “What does the artists’ studio or space look like?”, “How do they develop their ideas?”, “What are they doing when they are developing and trialling their techniques and working with materials?”, “How do they engage with galleries (physical or virtual) to exhibit their work?”|observing and exploring details such as use of materials, patterns, proportions or familiar features in artworks and using Viewpoints to co-create questions such as, “What is the artwork made of?”, “How can I look more closely at this work to see something I did not notice the first time?”, “What do I see when I look at the work through half-shut eyes?”, “How does the work look like it feels, and how does it actually feel?”|making connections and comparisons between artists working across cultures, times and places; for example, finding similarities and differences between the ways that an artist’s context impacts their approach to a theme such as sustainability or community celebrations, or finding similarities and differences between the ways that different artists approach the same material and techniques, such as different approaches to creating sustainable sculpture using found objects, natural and human-made materials|exploring ways to represent the world as they see it; for example, using ideas and experience about a recent event (such as a sports or cultural event or celebration) and making an artwork that communicates their perspective of the event; and then identifying how their work is different from the works created by other students in the class, how the teacher’s work differs from the students’ work or how their works compare to works by other artists that feature similar subject matter|identifying ways that artworks by different artists can present multiple perspectives of the same event and discussing how these works can develop social awareness; for example, accessing and comparing artists and artworks that explore sustainability, such as land art, artworks using recycled materials that represent the effects of climate on the environment|describing and categorising visual features and cultural works around the school, such as artworks, craft works, design or architectural features, memorials, murals or displays according to their purpose; for example, social, decorative, architectural, functional, cultural",
