Year level,Strand,Content code,Content description,Elaboration,Linked Achievement IDs,descriptor_type
Foundation,Number,AC9MFN01,"name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals","responding to a request to collect a quantity of objects or reading a numeral and selecting the associated quantity of items from a collection to match the number required; for example, collecting 9 paint brushes after hearing the word ‘nine’",P-AS-01,knowledge
Foundation,Number,AC9MFN01,"name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals","recognising the order in the sequence of numbers to 20 and identifying the number that is “one less” than a given number and the number that is “one more”; for example, playing instructive card games that involve reading and ordering number cards; using counting songs, story books and rhymes to establish the forwards and backwards counting sequence of numbers in the context of active counting activities",P-AS-01,knowledge
Foundation,Number,AC9MFN01,"name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals","understanding and using terms such as “first”, “second”, “third”, … “fifth”… to indicate ordinal position in a sequence; for example, creating a number track using cards with the numerals zero to 20 and describing positions using terms such as first, last, before, after, between",P-AS-01,knowledge
Foundation,Number,AC9MFN01,"name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals","recognising, writing and reading numerals written on familiar objects; for example, in images, text or illustrations in story books; writing a numeral on a container as a label to show how many objects it contains",P-AS-01,knowledge
Foundation,Number,AC9MFN01,"name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals","connecting quantities to number names and numerals when reading and reciting stories and playing counting games or determining and reasoning about the size of sets of objects within First Nation Australians’ instructive games; for example, Segur etug from Mer Island in the Torres Strait region",P-AS-01,knowledge
Foundation,Number,AC9MFN02,recognise and name the number of objects within a collection up to 5 using subitising,recognising how many objects are in a collection or in images on a card with a quick look and saying the associated number without counting,"P-AS-08, P-AS-11",knowledge
Foundation,Number,AC9MFN02,recognise and name the number of objects within a collection up to 5 using subitising,"playing instructive card games that rely on the recognition of numbers represented in different ways; for example, playing memory games, matching pairs of quantities on dot cards or similar where the arrangement on each is different; using subitising to compare and order collections and to say who has more when sharing items in a game","P-AS-08, P-AS-11",knowledge
Foundation,Number,AC9MFN03,quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,"establishing the language and process of counting, understanding that each object must be counted only once, that the arrangement of objects does not affect how many there are, and that the last number counted answers the question of “How many?”; for example, saying numbers in sequence while playing and performing actions","P-AS-02, P-AS-03, P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN03,quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,using counting to compare the size of two or more collections of like items to justify which collection contains more or less items,"P-AS-02, P-AS-03, P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN03,quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,"using counting and one-to-one correspondence to quantify the number of items required for a purpose; for example, when asked to collect enough scissors for each member of their group to have a pair, counting each member and using the total count to know how many to collect","P-AS-02, P-AS-03, P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN03,quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,"discussing how different cultures may have alternative ways of representing the count; for example, discussing how people of the Asia region use an abacus or Chinese hand gestures","P-AS-02, P-AS-03, P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN03,quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,"using body-tallying that involves body parts and one-to-one correspondence from counting systems of First Nations Peoples of Australia, to count to 20","P-AS-02, P-AS-03, P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN04,partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,"recognising numbers represented in physical or virtual ten-frames, and describing their reasoning: “It’s 7 because there is 5 there and 2 more”","P-AS-08, P-AS-11",knowledge
Foundation,Number,AC9MFN04,partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,"partitioning collections of up to 10 objects in different ways and saying the part-part-whole relationship; for example, partitioning a collection of 6 counters into 4 counters and 2 counters and saying, “6 is 4 and 2 more, it’s 2 and 4””, then partitioning the same collection into 5 and one or 3 and 3","P-AS-08, P-AS-11",knowledge
Foundation,Number,AC9MFN04,partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,"representing part-part-whole relationships in numbers up to 10 using physical or virtual materials; for example, identifying numbers represented by dots in standard number configurations such as dominos and dice by recognising parts that form the whole","P-AS-08, P-AS-11",knowledge
Foundation,Number,AC9MFN04,partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,"exploring number groupings in First Nations Australians’ counting systems and the different ways of representing these groupings to form and partition numbers, applying this to quantify collections of objects in the environment on Country/Place up to 10","P-AS-08, P-AS-11",knowledge
Foundation,Number,AC9MFN05,"represent practical situations involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies","using role-play and materials to represent mathematical relationships in stories; for example, “Eight kangaroos were drinking at the river and 3 hopped away”; drawing a picture and using materials to represent the situation, discussing, and recording the result of the action with a numeral","P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN05,"represent practical situations involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies","role playing or actively engaging in situations that involve quantifying or comparing collections of items or simple money transactions; for example, “Do we have enough scissors for our group so that each person has their own pair?”; role-playing using $1 coins to pay for items in a shop where items are priced in whole dollars","P-AS-09, P-AS-11",knowledge
Foundation,Number,AC9MFN05,"represent practical situations involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies","representing situations expressed in First Nations Australians’ stories, such as “Tiddalick, the greedy frog”, that describe additive situations and their connections to Country/Place","P-AS-09, P-AS-11",knowledge
