"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9MFN01","[]","Name a numeral to 20","Student can say the number name when shown a numeral from 0 to 20.","1","early","Shown the card 14, the student says 'fourteen'.","Student reverses teen numbers (reads 14 as 'forty'), or does not recognise 0 as zero.","Show numeral cards 0 to 20 in random order. Ask the student to name each.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN01","[]","Make a collection to match a number","Student can collect the right number of objects when given a number name or numeral up to 20.","2","early","Hearing 'nine', the student counts out 9 paintbrushes.","Student grabs a handful without counting, or stops at the wrong number.","Name several numbers to 20. Ask the student to collect that many objects each time.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN01","[]","Write or form numerals","Student can write or form numerals from 0 to 20.","3","early","Asked to write 'seven', the student writes 7 the right way around.","Student reverses digits (writes 7 or 3 backwards) or forms teen numbers in the wrong order.","Say several numbers to 20. Ask the student to write each numeral.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN01","[]","Order numbers to 20","Student can put numbers from 0 to 20 in order.","4","middle","Given mixed cards 0 to 10, the student lays them out in order from 0 to 10.","Student orders by where there is space, or skips or repeats a number.","Give the student a set of number cards to 20. Ask them to put them in order.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN01","[]","Say one more and one less","Student can say the number that is one more and one less than a given number to 20.","5","middle","Asked one more than 12, the student says 13; one less than 12, says 11.","Student counts from one each time, or cannot go backwards for 'one less'.","Name several numbers to 20. Ask for one more and one less for each.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN01","[]","Use ordinal numbers","Student can use ordinal words (first, second, third, fourth, fifth) to say position in a sequence.","6","middle","Lining up toys, the student names which is first, third and fifth.","Student uses counting numbers (one, two) instead of ordinal words, or miscounts the position.","Line up five objects. Ask the student which is first, second, third, fourth and fifth.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN02","[]","Subitise collections to 3","Student can say how many are in a small collection of 1 to 3 with a quick look, without counting.","1","early","Shown three dots briefly, the student says 'three' straight away.","Student counts the dots one by one rather than recognising the amount at a glance.","Flash dot cards of 1, 2 and 3 briefly. Ask the student how many, allowing only a quick look.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN02","[]","Subitise to 5","Student can subitise collections up to 5 in familiar arrangements such as dice or dot patterns.","2","early","Shown a dice face of five, the student says 'five' without counting.","Student can subitise to 3 but counts for 4 and 5.","Flash dice or dot patterns to 5. Ask the student how many with only a quick look.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN02","[]","Subitise different arrangements","Student can subitise to 5 when the objects are arranged in different, non-standard ways.","3","middle","Shown four dots in a line and four in a square, the student says 'four' for both.","Student only recognises the standard dice patterns and counts any other arrangement.","Flash collections of 4 and 5 in unusual arrangements. Ask the student how many each.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN02","[]","Compare small collections by subitising","Student can compare two small collections by subitising and say which has more.","4","middle","Shown 3 dots and 5 dots, the student says the second has more without counting.","Student says the more spread out group has more, regardless of how many.","Show pairs of small dot collections. Ask the student which has more, with a quick look.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN03","[]","Count a collection to 20","Student can count a collection of up to 20 objects, touching or moving each one once.","1","early","Counting a pile of 15 counters, the student touches each once and reaches 15.","Student skips an object or counts one twice, so the count is wrong.","Give the student a collection of up to 20 objects. Ask them to count how many.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN03","[]","Know the last number tells how many","Student can say that the last number they counted tells how many there are altogether.","2","early","After counting to 12, asked 'how many?', the student says 12 without recounting.","Student recounts from the start when asked how many, not knowing the last number is the total.","After the student counts a collection, ask 'so how many are there?' and watch whether they recount.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN03","[]","Count stays the same when rearranged","Student can recognise that the number in a collection stays the same when the objects are moved around.","3","middle","After counting 8 counters, the student sees them spread out and says it is still 8 without recounting.","Student thinks spreading the objects out makes more, or bunching them makes fewer.","Count a collection with the student, rearrange it, and ask how many now.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN03","[]","Compare collections by counting","Student can compare two collections by counting and say which has more and which has fewer.","4","middle","Counting 7 red and 9 blue, the student says there are more blue.","Student compares by which pile looks bigger rather than by counting.","Give two collections of similar size. Ask the student to find which has more by counting.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN03","[]","Count out a number for a purpose","Student can count out a needed number of items for a task.","5","middle","Asked to get enough cups for 6 children, the student counts out 6 cups.","Student takes too many or too few, or does not connect the count to the purpose.","Set a purpose (one cup each for a group). Ask the student to count out exactly enough.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN03","[]","Explain or show their counting","Student can explain or demonstrate how they counted to know how many.","6","late","The student shows they touched each counter once and that the last number was the total.","Student gives an answer but cannot show or say how they worked it out.","After a count, ask the student to show you how they counted and how they know that is how many.","False","False","system_default","","","False","pending_review","","Serves the 'explain or demonstrate reasoning' clause of the descriptor."
"","AC9MFN04","[]","Split a collection into two parts","Student can partition a collection of up to 10 into two parts.","1","early","Given 6 counters, the student splits them into a group of 4 and a group of 2.","Student leaves some counters out of both parts, or the parts do not make the whole.","Give the student up to 10 counters. Ask them to break them into two groups.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN04","[]","Combine two parts to find the whole","Student can put two parts together and say how many there are altogether.","2","early","With a part of 3 and a part of 4, the student combines them and says 7.","Student counts only one part, or recounts incorrectly when combining.","Give the student two small groups. Ask how many there are altogether.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN04","[]","Recognise a number on a ten-frame","Student can recognise how many are shown on a ten-frame and describe the parts.","3","middle","Shown 7 on a ten-frame, the student says 'seven, that is 5 and 2 more'.","Student counts every box including empty ones, or counts the filled ones one by one each time.","Show numbers to 10 on a ten-frame. Ask how many and how they can tell.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN04","[]","Show different ways to make a number","Student can partition the same number up to 10 in more than one way.","4","middle","For 5, the student shows 4 and 1, then 3 and 2.","Student gives the same split twice with the parts swapped and counts it as different.","Ask the student to show two different ways to make 5 using counters.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN04","[]","Say the part-part-whole relationship","Student can say both parts and the whole for a partitioned collection.","5","middle","Splitting 8 into 5 and 3, the student says '5 and 3 make 8'.","Student names the parts but not the whole, or the whole but not the parts.","Partition a collection with the student. Ask them to say the two parts and the whole.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN05","[]","Show an adding-to story with materials","Student can use objects to act out an adding-to situation from a story.","1","early","For 'there were 3 ducks and 2 more came', the student sets out 3 then adds 2.","Student shows only one quantity, or does not add the second group.","Tell a short adding story to 10. Ask the student to show it with counters.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN05","[]","Show a taking-away story with materials","Student can use objects to act out a taking-away situation from a story.","2","early","For '5 apples and 2 were eaten', the student sets out 5 and removes 2.","Student removes the wrong number, or adds instead of taking away.","Tell a short taking-away story to 10. Ask the student to show it with counters.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN05","[]","Find how many after adding","Student can count to find how many there are after more are added.","3","middle","After adding 2 to 3 ducks, the student counts and says 5 altogether.","Student counts only the added group, or starts the count from zero on the last object.","Pose adding situations to 10. Ask the student to show it and say how many now.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN05","[]","Find how many are left after taking away","Student can count to find how many are left after some are removed.","4","middle","After removing 2 from 5, the student counts the rest and says 3 are left.","Student counts the removed group as the answer, or miscounts what remains.","Pose taking-away situations to 10. Ask the student to show it and say how many are left.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN05","[]","Represent a simple money or quantifying situation","Student can use materials to represent a simple quantifying or whole-coin money situation.","5","middle","For 'buy a 2 dollar toy with coins', the student counts out 2 one-dollar coins.","Student treats the coins as plain counters with no value, or cannot match coins to the amount.","Pose a simple whole-dollar buying situation. Ask the student to show it with play money.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN06","[]","Share a collection equally","Student can share a small collection equally between people or groups, giving one at a time.","1","early","Sharing 6 counters between 2 toys, the student deals one each in turn, giving 3 each.","Student shares unevenly, or gives all to one before the other.","Give the student counters and two toys or plates. Ask them to share equally.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN06","[]","Make equal groups","Student can make equal groups from a collection.","2","early","Asked to make groups of 2 from 8 counters, the student makes 4 pairs.","Student makes groups of different sizes.","Give the student counters. Ask them to make equal groups of two or of five.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN06","[]","Check that shares are equal","Student can check that each share or group has the same number.","3","middle","After sharing, the student counts each plate to check they all have 3.","Student assumes the shares are equal without checking, even when they are not.","After the student shares a collection, ask them to check that each group is the same.","False","False","system_default","","","False","pending_review","",""
"","AC9MFN06","[]","Notice when it will not share evenly","Student can notice when a collection cannot be shared equally and that some are left over.","4","middle","Sharing 7 between 2, the student gives 3 each and says one is left over.","Student forces an even share by ignoring or hiding the extra.","Pose a share that does not work out evenly (7 between 2). Ask what happens to the extra.","False","False","system_default","","","False","pending_review","",""
