"id","homeDescriptorId","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","icReadinessStatus","linkedDescriptorIds","reviewNotes"
"ac9e2ly01-ic01","AC9E2LY01","Identifies the same topic across different text types","Student can recognise that the same topic can be presented in a narrative, an information report and a poem, and name what each text type does differently with that topic.","1","early","After reading a poem, a narrative and an information report all about frogs, student says: The poem describes what frogs look like using rhyme. The story uses a frog as a character. The information report gives facts about where frogs live.","Student summarises the content of each text rather than naming how each text type handles the same topic differently.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly01-ic02","AC9E2LY01","Compares what is learnt from different text types on the same topic","Student can explain what unique information or understanding each text type provides about a shared topic and why a reader might choose one over another.","2","middle","Student explains: If you want to understand the lifecycle of a butterfly you would read the information report. If you want to enjoy a story featuring butterflies you would read the narrative. The poem gives you a feeling for what butterflies are like but not the facts.","Student says one text type is better than another without explaining what each one offers the reader differently.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly01-ic03","AC9E2LY01","Identifies shared purpose across different forms of the same text type","Student can recognise that the same text type can appear in different forms — such as a recipe as a video, a food packet, a book and a digital page — and explain what stays the same across all forms.","3","middle","Student explains: All the recipes tell you what ingredients to use and what steps to follow. The form is different but the purpose is the same — they all tell you how to make something.","Student treats each form as a completely different text type rather than recognising the shared purpose and structure across forms.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly01-ic04","AC9E2LY01","Selects the most useful text type for a given purpose","Student can choose the most appropriate text type from a set of options to meet a specific information or enjoyment need and explain their choice.","4","late","Given three texts about recycling — a narrative, a poster and an information report — student chooses the information report to find out the facts about what can be recycled and explains: The poster just tells me to do it. The story shows a character doing it. The report actually explains how it works.","Student chooses a text type based on personal preference rather than matching the text type to the specific purpose of the task.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly02-ic01","AC9E2LY02","Listens actively and shows listening through body language","Student can demonstrate active listening during a class or group discussion by maintaining appropriate eye contact, facing the speaker, and not interrupting.","1","early","During a think-pair-share activity, student faces their partner, nods and waits for the partner to finish before speaking.","Student listens without interrupting but shows no visible signs of engagement, or looks away and loses track of what was said.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly02-ic02","AC9E2LY02","Responds to a partner by paraphrasing their contribution","Student can restate what a partner has said in their own words before adding their own idea, showing they have understood the contribution.","2","early","Student says: So you think we should use recycled materials because they cost less — I agree with that but I also think it would help the environment.","Student responds to the topic rather than to what the partner specifically said, not demonstrating that they processed the partner's contribution.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly02-ic03","AC9E2LY02","Uses sentence starters to respond to others","Student can use provided sentence starters to agree with extend or respectfully disagree with another speaker's contribution.","3","middle","Student uses: I like the way you explained that... I agree that... but I also think... I have a different thought because...","Student uses a sentence starter but does not follow it with a substantive response, or uses the same starter repeatedly.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly02-ic04","AC9E2LY02","Asks a relevant question that extends the discussion","Student can ask a question that connects to what has been said and invites the speaker or group to elaborate or think further.","4","middle","After a classmate shares an idea about saving water, student asks: Why do you think that would work better than just using less water in the shower?","Student asks a question that is off topic, repeats something already covered, or asks a closed question when an open question would extend the discussion.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly02-ic05","AC9E2LY02","Respectfully disagrees and explains an alternative view","Student can disagree with another speaker's contribution politely using appropriate language and provide a reason for their alternative view.","5","late","Student says: I understand what you mean but I have a different thought. I think planting more trees would help more than reducing plastic because trees clean the air as well as helping animals.","Student disagrees but without acknowledging the other view or providing a reasoned alternative, or uses language that is dismissive rather than respectful.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly03-ic01","AC9E2LY03","Identifies the purpose of a text","Student can state the main purpose of a text — to entertain, to inform, or to persuade — when shown an example.","1","early","Student looks at an advertisement for a new toy and says: This text is trying to persuade me to want to buy the toy.","Student describes the topic of the text rather than its purpose: This is about a toy instead of This is trying to make me want it.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly03-ic02","AC9E2LY03","Identifies the intended audience of a text","Student can identify who a text is designed for and use evidence from the text to support their answer.","2","early","Student looks at a road safety sign and says: This sign is for drivers because it uses words like speed limit and shows a car symbol, not a pedestrian symbol.","Student identifies an audience without drawing on evidence from the text to support the claim.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly03-ic03","AC9E2LY03","Explains how purpose and audience shape a text","Student can explain how knowing the purpose and audience of a text helps explain why specific language or visual features have been used.","3","middle","Student explains: Advertisements for children use bright colours and fun characters because children are attracted to those things. If the advertisement was for adults it would probably use different words and images.","Student identifies purpose and audience separately but cannot connect them to explain why specific features of the text were chosen.","N","FALSE","FALSE","system_default","active","",""
"ac9e2ly03-ic04","AC9E2LY03","Compares how purpose and audience differ across two texts","Student can compare two texts on a similar topic and explain how their different purposes or audiences lead to different choices in language and design.","4","late","Comparing a picture book and an information brochure about the ocean student explains: The picture book uses a story and simple words because it is for young children who want to enjoy a story. The brochure uses headings and facts because it is for people who want specific information.","Student compares surface features like length or colour without connecting them to differences in purpose or audience.","N","FALSE","FALSE","system_default","active","",""
