id,homeDescriptorId,linkedDescriptorIds,name,description,sequenceOrder,difficultyStage,exampleOfSuccess,commonError,checkpointTask,isOptional,isArchived,ownerTier,copiedFromId,equivalentToId,suppressedByTeacher,icReadinessStatus,aiQualityFlags,reviewNotes
ac9m2sp01-ic01,AC9M2SP01,[],Identifying and counting sides of shapes,"Students count the sides of polygons accurately and use this to name and sort shapes, recognising that the number of sides defines the shape type.",1,early,"Given a collection of shapes, the student counts sides carefully - touching each one - and correctly sorts them into triangles (3), quadrilaterals (4), pentagons (5) and hexagons (6).","Student miscounts sides on irregular shapes, often missing a side that is not horizontal or vertical, or counting corners instead of sides.",Count the sides of each shape. Sort them into groups based on the number of sides.,false,false,system_default,,,false,active,,
ac9m2sp01-ic02,AC9M2SP01,[],Identifying straight and curved sides,"Students distinguish between shapes with straight sides, curved sides, or both, using the terms straight and curved accurately.",2,early,"The student correctly identifies a circle as having only curved sides, a square as having only straight sides, and a semicircle as having both, explaining each choice.",Student calls all rounded shapes circles regardless of whether they have any straight sides.,"Sort these shapes: which have only straight sides, only curved sides, or both?",false,false,system_default,,,false,active,,
ac9m2sp01-ic03,AC9M2SP01,[],Identifying parallel and opposite sides,"Students identify pairs of opposite sides in shapes and determine whether they are parallel, using spatial language correctly.",3,middle,The student looks at a rectangle and says the top and bottom sides are opposite and they are parallel because they go in the same direction and never meet. The left and right sides are also parallel.,"Student confuses opposite with adjacent sides, or identifies sides as parallel based on visual appearance without checking direction.",Which sides of this shape are opposite each other? Are they parallel? How do you know?,false,false,system_default,,,false,active,,
ac9m2sp01-ic04,AC9M2SP01,[],Sorting shapes by multiple attributes,"Students sort a collection of shapes using two attributes simultaneously (e.g. number of sides and whether sides are equal), explaining their sorting rule.",4,middle,"The student creates a two-way sort: shapes with 4 sides that are all equal (squares, rhombuses) vs shapes with 4 sides that are not all equal (rectangles, irregular quadrilaterals), explaining both criteria.","Student sorts by one attribute only, then re-sorts by the second attribute separately, not understanding how to apply both criteria at once.",Sort these shapes into groups using two rules at the same time. Explain your sorting rule.,false,false,system_default,,,false,active,,
ac9m2sp01-ic05,AC9M2SP01,[],Recognising shapes in different orientations,"Students identify shapes correctly regardless of orientation, understanding that rotating or flipping a shape does not change what it is.",5,middle,"Shown a triangle pointing downward and a square tilted at 45 degrees, the student correctly names both, saying the triangle still has 3 sides and the square still has 4 equal sides even though they look different.","Student does not recognise a triangle pointing downward as a triangle, or calls a tilted square a diamond, focusing on orientation rather than properties.",Is this shape still a square? Is this a triangle? How do you know even though they look different from usual?,false,false,system_default,,,false,active,,
ac9m2sp01-ic06,AC9M2SP01,[],Creating shapes using spatial terms to describe them,"Students draw or construct shapes from verbal descriptions using spatial language including opposite, parallel, curved and straight, then describe their own shapes using the same terms.",6,late,"Given the description a shape with 4 straight sides where opposite sides are parallel and all sides are equal, the student draws a square or rhombus and uses the same language to describe a shape they create.","Student draws a shape that roughly matches the description without checking whether the specific spatial properties (parallel, equal) are satisfied.",I will describe a shape. Draw it. Now create your own shape and describe it so I can draw it.,false,false,system_default,,,false,active,,
ac9m2sp01-ic07,AC9M2SP01,[],Classifying shapes and explaining reasoning,"Students classify a mixed collection of shapes, justify each classification using geometric properties, and recognise that some shapes can belong to more than one category.",7,late,"The student places a square in both the rectangles group and the rhombuses group, explaining that a square has all the properties of a rectangle (4 right angles, opposite sides equal and parallel) and also of a rhombus (all sides equal).","Student treats shape categories as mutually exclusive, refusing to place a shape in two groups even when it satisfies both sets of properties.",Can a shape belong to more than one group? Show me an example and explain why.,false,false,system_default,,,false,active,,Cross-descriptor link candidate: connects to AC9M3SP01 (classifying objects) as this IC establishes the property-based classification reasoning that extends to 3D objects in Year 3.
ac9m2sp02-ic01,AC9M2SP02,[],Reading a simple map of a familiar space,"Students interpret a basic bird-eye view map of a familiar location, identifying key features and their positions relative to each other.",1,early,"Given a simple map of the classroom, the student correctly identifies the door, teacher desk and reading corner, and says the reading corner is next to the window and opposite the door.","Student rotates the map to match their current orientation rather than reading it from a fixed perspective, losing the positional relationships.",Look at this map of our classroom. Where is the door? What is next to the reading corner?,false,false,system_default,,,false,active,,
ac9m2sp02-ic02,AC9M2SP02,[],Using positional language to describe locations on a map,"Students use directional and positional language (left, right, above, below, next to, between, opposite) accurately to describe where features are on a 2D map.",2,early,"The student says the library is to the right of the office and between the hall and the canteen, using the map rather than their own body orientation to determine left and right.","Student uses left and right based on their own body position rather than from a fixed map perspective, giving descriptions that only work from one viewpoint.","Using the map, describe where the canteen is. Use at least two positional words.",false,false,system_default,,,false,active,,
ac9m2sp02-ic03,AC9M2SP02,[],Following a pathway on a 2D map,"Students trace and follow a described route on a simple map, identifying the features passed along the way.",3,middle,"Given directions to walk from the office to the library (turn right at the hall, pass the canteen, turn left at the garden), the student traces the correct path and lists the features passed in order.","Student follows the first instruction correctly but loses track when the path changes direction, continuing straight rather than turning.",Follow these directions on the map. What do you pass along the way? Where do you end up?,false,false,system_default,,,false,active,,
