id,homeDescriptorId,linkedDescriptorIds,name,description,sequenceOrder,difficultyStage,exampleOfSuccess,commonError,checkpointTask,isOptional,isArchived,ownerTier,copiedFromId,equivalentToId,suppressedByTeacher,icReadinessStatus,aiQualityFlags,reviewNotes
ac9m2st01-ic01,AC9M2ST01,[],Posing a question to investigate,Students pose a simple statistical question about a topic of interest that can be answered by collecting categorical data from their class.,1,early,The student poses the question what is the favourite fruit of students in our class and identifies that they will need to ask each student and record one answer per person.,Student poses a question that cannot be answered by data (e.g. why do people like fruit) or one that has a yes/no answer that does not yield categories to compare.,Think of a question you could answer by asking everyone in the class. What categories of answers might you get?,false,false,system_default,,,false,active,,
ac9m2st01-ic02,AC9M2ST01,[],Designing a simple data collection method,"Students plan how they will collect data for their question, deciding on categories, recording method and how to ensure one response per person.",2,early,"The student plans to ask each classmate to choose from four fruit options, tally each response on a prepared sheet, and check off names to avoid double-counting.","Student starts collecting data without a plan, ending up with inconsistent categories or collecting multiple responses from the same person.","Before you collect data, plan how you will do it. What categories will you use? How will you record each answer?",false,false,system_default,,,false,active,,
ac9m2st01-ic03,AC9M2ST01,[],Collecting data using tally marks,"Students collect categorical data by conducting a survey or observation and recording responses using tally marks, grouping in fives.",3,early,"The student surveys classmates about their favourite sport, recording each response as a tally mark in the correct category, using bundles of five accurately.","Student uses tally marks individually without grouping in fives, making it hard to count totals quickly, or places tally marks in the wrong category.",Survey your group about their favourite sport. Use tally marks to record each answer. Remember to bundle in fives.,false,false,system_default,,,false,active,,
ac9m2st01-ic04,AC9M2ST01,[],Collecting data through observation and experiment,"Students collect data by observing events or conducting a simple experiment, recording results in a prepared table.",4,middle,"The student observes the colour of 20 cars passing the school gate, recording each in a prepared table with columns for colour and tally, producing an accurate count for each colour category.","Student records data inconsistently, sometimes writing the colour name and sometimes drawing a picture, making totalling difficult.",Watch the cars going past and record the colour of each one in this table. We will look at the results together.,false,false,system_default,,,false,active,,
ac9m2st01-ic05,AC9M2ST01,[],Sorting collected data into categories,"Students organise raw data into relevant categories, deciding on appropriate category names and placing each data point correctly.",5,middle,"After collecting free responses about favourite animals, the student groups similar answers (dog/puppy into dogs, cat/kitten into cats) and creates a clean category table with accurate totals.","Student creates too many categories (one per unique answer) or too few (combines unrelated categories), making the data hard to interpret.",Here are the raw responses from our survey. Sort them into sensible categories. How will you handle answers that are similar but not identical?,false,false,system_default,,,false,active,,
ac9m2st01-ic06,AC9M2ST01,[],Using digital tools to collect and record data,"Students use a simple digital tool (e.g. a form or spreadsheet) to record and organise survey data, understanding that digital tools help manage larger data sets.",6,late,"The student enters survey responses into a prepared spreadsheet, uses the sort function to group categories, and produces a frequency count for each category without manual tallying.","Student enters data correctly but does not understand how to use the tool to organise or total it, treating the digital tool as just a typed version of paper.",Enter our class survey results into this spreadsheet. Can you get it to count how many chose each option?,false,false,system_default,,,false,active,,Cross-descriptor link candidate: connects to AC9M2ST02 (creating graphical representations using software) as data collection feeds directly into display.
ac9m2st01-ic07,AC9M2ST01,[],Evaluating whether data answers the original question,Students review their collected and sorted data and judge whether it is sufficient and relevant to answer the question they posed.,7,late,"After collecting data on favourite fruit, the student checks that every classmate responded, that all responses fit a category, and concludes the data answers which fruit is most popular in our class but would not answer which fruit is healthiest.","Student treats any collected data as automatically answering the question, not checking for missing responses or whether the categories match what was asked.",Look at your collected data. Does it answer your original question? Is there anything missing or that does not fit?,false,false,system_default,,,false,active,,
ac9m2st02-ic01,AC9M2ST02,[AC9M2ST01],Creating a picture graph with one-to-one correspondence,"Students create a picture graph where each symbol represents one data value, spacing symbols evenly and labelling categories.",1,early,"The student draws a picture graph of favourite pets with one animal icon per response, categories labelled along the bottom and a title at the top, with all icons aligned and evenly spaced.","Student draws icons of different sizes or places them unevenly, making visual comparison unreliable.",Use this data about favourite pets to create a picture graph. Each picture stands for one person.,false,false,system_default,,,false,active,,Cross-descriptor link candidate: connects to AC9M2ST01 (acquiring data) as the data collected feeds directly into this display.
ac9m2st02-ic02,AC9M2ST02,[],Creating a column graph from a data table,"Students use data from a frequency table to construct a column graph with labelled axes, a title, and columns of accurate height.",2,early,"The student draws a column graph for favourite colours with a vertical axis numbered 0-10, horizontal axis labelled with colour names, columns touching and of correct height, and a title.","Student draws columns of approximately correct height without using the axis scale to check accuracy, or draws columns with gaps between them.",Use this tally table to create a column graph. Label both axes and give your graph a title.,false,false,system_default,,,false,active,,
ac9m2st02-ic03,AC9M2ST02,[],Reading and interpreting a column graph,"Students read values from a column graph and answer questions about the data, including identifying the most and least common categories and calculating differences.",3,middle,"Given a column graph of favourite sports, the student correctly reads that soccer had 8 votes and tennis had 3 votes, identifies soccer as most popular and swimming as least popular, and calculates that soccer had 5 more votes than tennis.","Student reads approximate values rather than using the axis scale, or identifies the tallest bar as most popular without reading the actual value.",Look at this column graph. Which sport was most popular? How many more students chose soccer than tennis?,false,false,system_default,,,false,active,,
