"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9S2U01","[""AC9S2I01""]","Ask a question and predict (sky)","Student can pose a question about a pattern they noticed and make a prediction about what will happen, based on what they have seen.","11","middle","After watching a sky object over a few lessons, the student asks if it will keep changing and predicts what it might look like next.","Student makes a statement instead of a question, or predicts with no link to what they observed.","During any activity in this unit, note whether the student poses a pattern question and offers a prediction.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I01. Optional planning prompt. Scored A (met in any one unit = met overall). Phrased for any activity in the unit. NOTE: bundles the question and predict halves for simplicity; splittable if you want finer tracking."
"","AC9S2U01","[""AC9S2I02""]","Suggest and follow safe steps (sky)","Student can suggest a sensible or safe step for carrying out the activity, and follow the steps safely.","12","middle","For watching the sun's position, the student suggests not looking straight at the sun and follows that rule.","Student rushes in with no plan, or ignores a safety point that was discussed.","During any hands-on activity, note whether the student suggests a step or safe practice and follows the procedure.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I02. Optional. Scored A. 'Suggest a procedure' is rarely prompted by knowledge ICs, so this placement is what gives I02 its evidence."
"","AC9S2U01","[""AC9S2I03""]","Make and record observations (sky)","Student can make observations during the activity and record them using words, drawings or a simple table.","13","early","The student records what they saw of a sky object across lessons, using drawings or short notes.","Student observes but records nothing, or records something they did not actually observe.","During any activity, note whether the student makes and records their own observations.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I03. Optional. Scored A. Already well-exercised by knowledge ICs; this makes the tether explicit. Any recording method counts."
"","AC9S2U01","[""AC9S2I04""]","Organise observations to show a pattern (sky)","Student can organise their observations to show a pattern, using a provided table, chart or simple model.","14","middle","The student puts their sky observations in order to show how something changed over time.","Student lists observations randomly with no order or grouping, or sorts by an unrelated feature.","Give a provided table or sorting frame. Note whether the student organises observations to show a pattern.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I04. Optional. Scored A. Partially orphaned skill; placement gives it a home. 'Provided table' holds it to the Year 2 standard (AS-08)."
"","AC9S2U01","[""AC9S2I05""]","Compare with prediction and ask what's next (sky)","Student can compare what happened with what they predicted, or with what others found, and with guidance say whether it was fair or what they would ask next.","15","late","The student compares how the sky object actually changed with their prediction and says if they were right.","Student does not look back at their prediction, or compares without noticing differences in how things were tested.","After any activity, note whether the student compares result to prediction or to others, with guidance.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I05. Optional. Scored A. Orphaned skill (no knowledge IC exercised it); this closes the gap. 'With guidance' matches AS-09."
"","AC9S2U01","[""AC9S2I06""]","Share findings using science words (sky)","Student can share what they observed or found, in words, drawings or a simple text, using everyday and science words.","16","late","The student tells or writes what they noticed about the sky, using words like observe, pattern and predict.","Student shares nothing, or describes without using any of the science words from the unit.","At the end of any activity, note whether the student communicates their findings using some science vocabulary.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I06. Optional. Scored A. Fully orphaned skill (no knowledge IC asked a kid to communicate); this placement is its only evidence. Tune the vocabulary to your teaching."
"","AC9S2U02","[""AC9S2I01""]","Ask a question and predict (sound)","Student can pose a question about a pattern they noticed and make a prediction about what will happen, based on what they have seen.","9","middle","Before twanging a ruler harder, the student asks if it will always get louder and predicts that it will.","Student makes a statement instead of a question, or predicts with no link to what they observed.","During any activity in this unit, note whether the student poses a pattern question and offers a prediction.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I01. Optional planning prompt. Scored A (met in any one unit = met overall). Phrased for any activity in the unit. NOTE: bundles the question and predict halves for simplicity; splittable if you want finer tracking."
"","AC9S2U02","[""AC9S2I02""]","Suggest and follow safe steps (sound)","Student can suggest a sensible or safe step for carrying out the activity, and follow the steps safely.","10","middle","Before testing loud sounds, the student suggests not making them close to someone's ears, and follows the steps in order.","Student rushes in with no plan, or ignores a safety point that was discussed.","During any hands-on activity, note whether the student suggests a step or safe practice and follows the procedure.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I02. Optional. Scored A. 'Suggest a procedure' is rarely prompted by knowledge ICs, so this placement is what gives I02 its evidence."
"","AC9S2U02","[""AC9S2I03""]","Make and record observations (sound)","Student can make observations during the activity and record them using words, drawings or a simple table.","11","early","The student notes which actions made which sounds, using words or a simple chart.","Student observes but records nothing, or records something they did not actually observe.","During any activity, note whether the student makes and records their own observations.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I03. Optional. Scored A. Already well-exercised by knowledge ICs; this makes the tether explicit. Any recording method counts."
"","AC9S2U02","[""AC9S2I04""]","Organise observations to show a pattern (sound)","Student can organise their observations to show a pattern, using a provided table, chart or simple model.","12","middle","The student sorts sounds into groups such as loud and soft, or high and low, in a provided table.","Student lists observations randomly with no order or grouping, or sorts by an unrelated feature.","Give a provided table or sorting frame. Note whether the student organises observations to show a pattern.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I04. Optional. Scored A. Partially orphaned skill; placement gives it a home. 'Provided table' holds it to the Year 2 standard (AS-08)."
