"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9S2I01","[]","Pose a question about something observed","Student can pose a question, in their own words, about something they have noticed or observed.","1","early","After noticing the Moon looked different from last week, the student asks 'Will it look the same tomorrow?'","Student makes a statement about what they noticed instead of asking a question, or asks something unrelated to the observation.","Across a couple of observation activities, note whether the student independently asks a question about what they observed.","False","False","system_default","","","False","pending_review","","Confidence high. Entry rung of the 'pose questions' skill (AS-02). Scaffold-edge candidate to merge into IC2 for a leaner set."
"","AC9S2I01","[]","Pose a question that explores a pattern or relationship","Student can pose a question that explores a pattern or a relationship, such as whether something always happens or what happens if one thing is changed.","2","middle","The student asks 'If I twang the ruler harder, will it always sound louder?' or 'Does the Moon look the same each night?'","Student poses a question that cannot be explored by observing or trying, or a one-off factual question with no pattern in it.","Across activities in sound, sky or materials, note whether the student poses a question aimed at a pattern or relationship rather than a single fact.","False","False","system_default","","","False","pending_review","","Confidence high. The descriptor's actual target and the heart of AS-02."
"","AC9S2I01","[]","Make a prediction about what will happen","Student can make a prediction about what will happen in a situation before trying it.","3","middle","Before pulling tissue paper and playdough, the student predicts which will stretch further; before twanging a ruler harder, predicts it will be louder.","Student states what is happening now rather than predicting what will happen, or will not commit to a prediction.","Across a few hands-on activities, note whether the student offers a prediction before observing the result.","False","False","system_default","","","False","pending_review","","Confidence high. First half of the 'make predictions' skill (AS-02)."
"","AC9S2I01","[]","Give a reason for a prediction from experience","Student can give a reason for their prediction that draws on what they already know, have seen before, or a pattern they have noticed.","4","late","The student predicts the Moon will be fuller next week 'because it has been getting bigger each night', or that pulling harder will tear the paper 'because that happened last time'.","Student gives a prediction with no reason, or a reason unrelated to experience or the observed pattern (a pure guess).","When the student predicts, ask why; across activities, note whether the reason draws on experience or a noticed pattern.","False","False","system_default","","","False","pending_review","","Confidence medium-high. Completes 'based on experiences' clause of AS-02."
"","AC9S2U01","[""AC9S2I01""]","Ask a question and predict (sky)","Student can pose a question about a pattern they noticed and make a prediction about what will happen, based on what they have seen.","11","middle","After watching a sky object over a few lessons, the student asks if it will keep changing and predicts what it might look like next.","Student makes a statement instead of a question, or predicts with no link to what they observed.","During any activity in this unit, note whether the student poses a pattern question and offers a prediction.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I01. Optional planning prompt. Scored A (met in any one unit = met overall)."
"","AC9S2U01","[""AC9S2I02""]","Suggest and follow safe steps (sky)","Student can suggest a sensible or safe step for carrying out the activity, and follow the steps safely.","12","middle","For watching the sun's position, the student suggests not looking straight at the sun and follows that rule.","Student rushes in with no plan, or ignores a safety point that was discussed.","During any hands-on activity, note whether the student suggests a step or safe practice and follows the procedure.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I02. Optional. Scored A."
"","AC9S2U01","[""AC9S2I03""]","Make and record observations (sky)","Student can make observations during the activity and record them using words, drawings or a simple table.","13","early","The student records what they saw of a sky object across lessons, using drawings or short notes.","Student observes but records nothing, or records something they did not actually observe.","During any activity, note whether the student makes and records their own observations.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I03. Optional. Scored A."
"","AC9S2U01","[""AC9S2I04""]","Organise observations to show a pattern (sky)","Student can organise their observations to show a pattern, using a provided table, chart or simple model.","14","middle","The student puts their sky observations in order to show how something changed over time.","Student lists observations randomly with no order or grouping, or sorts by an unrelated feature.","Give a provided table or sorting frame. Note whether the student organises observations to show a pattern.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I04. Optional. Scored A."
"","AC9S2U01","[""AC9S2I05""]","Compare with prediction and ask what's next (sky)","Student can compare what happened with what they predicted, or with what others found, and with guidance say whether it was fair or what they would ask next.","15","late","The student compares how the sky object actually changed with their prediction and says if they were right.","Student does not look back at their prediction, or compares without noticing differences in how things were tested.","After any activity, note whether the student compares result to prediction or to others, with guidance.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I05. Optional. Scored A."
"","AC9S2U01","[""AC9S2I06""]","Share findings using science words (sky)","Student can share what they observed or found, in words, drawings or a simple text, using everyday and science words.","16","late","The student tells or writes what they noticed about the sky, using words like observe, pattern and predict.","Student shares nothing, or describes without using any of the science words from the unit.","At the end of any activity, note whether the student communicates their findings using some science vocabulary.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I06. Optional. Scored A."
"","AC9S2U02","[""AC9S2I01""]","Ask a question and predict (sound)","Student can pose a question about a pattern they noticed and make a prediction about what will happen, based on what they have seen.","9","middle","Before twanging a ruler harder, the student asks if it will always get louder and predicts that it will.","Student makes a statement instead of a question, or predicts with no link to what they observed.","During any activity in this unit, note whether the student poses a pattern question and offers a prediction.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I01. Optional. Scored A."
"","AC9S2U02","[""AC9S2I02""]","Suggest and follow safe steps (sound)","Student can suggest a sensible or safe step for carrying out the activity, and follow the steps safely.","10","middle","Before testing loud sounds, the student suggests not making them close to someone's ears, and follows the steps in order.","Student rushes in with no plan, or ignores a safety point that was discussed.","During any hands-on activity, note whether the student suggests a step or safe practice and follows the procedure.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I02. Optional. Scored A."
"","AC9S2U02","[""AC9S2I03""]","Make and record observations (sound)","Student can make observations during the activity and record them using words, drawings or a simple table.","11","early","The student notes which actions made which sounds, using words or a simple chart.","Student observes but records nothing, or records something they did not actually observe.","During any activity, note whether the student makes and records their own observations.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I03. Optional. Scored A."
"","AC9S2U02","[""AC9S2I04""]","Organise observations to show a pattern (sound)","Student can organise their observations to show a pattern, using a provided table, chart or simple model.","12","middle","The student sorts sounds into groups such as loud and soft, or high and low, in a provided table.","Student lists observations randomly with no order or grouping, or sorts by an unrelated feature.","Give a provided table or sorting frame. Note whether the student organises observations to show a pattern.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I04. Optional. Scored A."
"","AC9S2U02","[""AC9S2I05""]","Compare with prediction and ask what's next (sound)","Student can compare what happened with what they predicted, or with what others found, and with guidance say whether it was fair or what they would ask next.","13","late","The student compares their loud/soft result with a partner's and notices if they tested the same way.","Student does not look back at their prediction, or compares without noticing differences in how things were tested.","After any activity, note whether the student compares result to prediction or to others, with guidance.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I05. Optional. Scored A."
"","AC9S2U02","[""AC9S2I06""]","Share findings using science words (sound)","Student can share what they observed or found, in words, drawings or a simple text, using everyday and science words.","14","late","The student explains how they changed a sound, using words like loud, soft, high, low and vibrate.","Student shares nothing, or describes without using any of the science words from the unit.","At the end of any activity, note whether the student communicates their findings using some science vocabulary.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I06. Optional. Scored A."
"","AC9S2U03","[""AC9S2I01""]","Ask a question and predict (materials)","Student can pose a question about a pattern they noticed and make a prediction about what will happen, based on what they have seen.","8","middle","Before pulling paper and playdough, the student asks which will stretch more and predicts an answer.","Student makes a statement instead of a question, or predicts with no link to what they observed.","During any activity in this unit, note whether the student poses a pattern question and offers a prediction.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I01. Optional. Scored A."
"","AC9S2U03","[""AC9S2I02""]","Suggest and follow safe steps (materials)","Student can suggest a sensible or safe step for carrying out the activity, and follow the steps safely.","9","middle","Before cutting or tearing materials, the student suggests handling scissors safely and follows the steps.","Student rushes in with no plan, or ignores a safety point that was discussed.","During any hands-on activity, note whether the student suggests a step or safe practice and follows the procedure.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I02. Optional. Scored A."
"","AC9S2U03","[""AC9S2I03""]","Make and record observations (materials)","Student can make observations during the activity and record them using words, drawings or a simple table.","10","early","The student draws or writes how a material looked before and after it was changed.","Student observes but records nothing, or records something they did not actually observe.","During any activity, note whether the student makes and records their own observations.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I03. Optional. Scored A."
"","AC9S2U03","[""AC9S2I04""]","Organise observations to show a pattern (materials)","Student can organise their observations to show a pattern, using a provided table, chart or simple model.","11","middle","The student groups material samples by how they were changed, using a provided table.","Student lists observations randomly with no order or grouping, or sorts by an unrelated feature.","Give a provided table or sorting frame. Note whether the student organises observations to show a pattern.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I04. Optional. Scored A."
"","AC9S2U03","[""AC9S2I05""]","Compare with prediction and ask what's next (materials)","Student can compare what happened with what they predicted, or with what others found, and with guidance say whether it was fair or what they would ask next.","12","late","The student compares how a material changed with their prediction and asks a new question about it.","Student does not look back at their prediction, or compares without noticing differences in how things were tested.","After any activity, note whether the student compares result to prediction or to others, with guidance.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I05. Optional. Scored A."
"","AC9S2U03","[""AC9S2I06""]","Share findings using science words (materials)","Student can share what they observed or found, in words, drawings or a simple text, using everyday and science words.","13","late","The student describes how a material changed, using words like bend, stretch and the same material.","Student shares nothing, or describes without using any of the science words from the unit.","At the end of any activity, note whether the student communicates their findings using some science vocabulary.","True","False","system_default","","","False","pending_review","","Tether: AC9S2I06. Optional. Scored A."
