"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9M3ST01","[]","Pose a question for data collection","Student can pose a question of interest that can be answered by collecting data.","1","early","The student asks 'What is the most common way our class travels to school?'","Student poses a question that cannot be answered by collecting data.","Ask the student to pose a question that could be answered by collecting data.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST01","[]","Collect categorical and numerical data","Student can collect data for a categorical variable and a discrete numerical variable.","2","middle","The student records favourite sport (categorical) and number of pets (numerical).","Student records numerical data as categories, or mixes the two.","Pose a survey with a categorical and a numerical question. Ask the student to collect the data.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST01","[]","Record data in a frequency table","Student can record collected data in a frequency table.","3","middle","The student tallies responses and writes the totals in a frequency table.","Student leaves out categories with zero, or miscounts the tallies.","Give collected data. Ask the student to organise it into a frequency table.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST01","[]","Use a digital tool or spreadsheet","Student can record data using a spreadsheet or digital data table.","4","late","The student enters survey results into a spreadsheet with category and count columns.","Student enters data in a disorganised way that cannot be read.","Ask the student to record a small data set in a spreadsheet or digital table.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST02","[]","Create a column graph","Student can create a column graph from a data set with a scale.","1","early","The student draws a column graph of favourite fruits with labelled axes.","Student draws columns of uneven width or omits the scale or labels.","Give a data set. Ask the student to draw a column graph with labels and a scale.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST02","[]","Create a picture graph with a key","Student can create a picture graph where one picture represents more than one item, using a key.","2","middle","The student draws a picture graph where one symbol stands for 2 votes, with a key.","Student treats each symbol as one item, ignoring the key.","Give a data set. Ask the student to make a picture graph with a key.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST02","[]","Read and interpret a graph","Student can read values from a graph and interpret them in context.","3","middle","From a column graph, the student says soccer was the most popular sport.","Student reads the wrong value off the scale, or does not relate it to the context.","Show a graph. Ask the student to read values and say what they mean.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST02","[]","Compare two representations of data","Student can compare two different representations of the same data and describe similarities and differences.","4","late","The student says the column graph and the table show the same totals, but the graph makes the most popular easier to see.","Student describes one representation without comparing.","Show two representations of the same data. Ask the student to compare them.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST03","[]","Plan a statistical investigation","Student can plan a simple statistical investigation, including the question and how to collect data.","1","early","The student plans to survey the class about screen time and record it in a table.","Student starts collecting data with no plan or question.","Ask the student to plan an investigation: the question, the data and how to collect it.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST03","[]","Carry out data collection","Student can carry out the data collection for their investigation.","2","middle","The student surveys the class and records each response.","Student misses respondents or records responses inconsistently.","Have the student carry out a planned data collection and record the results.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST03","[]","Represent the data","Student can represent the collected data in a suitable display.","3","middle","The student makes a column graph of the survey results.","Student chooses a display that does not suit the data.","Ask the student to represent their investigation data in a display.","False","False","system_default","","","False","pending_review","",""
"","AC9M3ST03","[]","Interpret and communicate findings","Student can interpret the results of an investigation and communicate them in terms of the question.","4","late","The student says 'most of the class has under 1 hour of screen time, which answers our question'.","Student reports counts without answering the original question.","After the investigation, ask the student what the data shows about their question.","False","False","system_default","","","False","pending_review","",""
